qid,condition,gold_answer,model_answer,llm_correct,human_correct
w171,G,الحي المعروف باسم حي القيروانيين.,#NAME?,0,0
w175,G,في 2 مارس 1956.,2 مارس 1956,1,1
w046,G,"بلغ عدد الجماعات 1503 جماعة، منقسمة إلى 221 جماعة حضرية و1282 جماعة قروية.",1503 جماعة,1,1
w067,G,تصل سعتها إلى 1600 طن.,1600طن,1,1
w183,G,لم تخمد إلا على يد الإمبراطور كلوديوس.,على يد الإمبراطور كلوديوس خمدت ثورة إيديمون.,1,1
w096,H,بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,مرسوم رقم 2.24.1122,0,1
w016,H,"بلغ 0,85% فقط خلال الفترة 2014–2024.",المعلومة غير متوفرة في النصوص,0,0
w031,H,"بلغت مشاركة الخدمات 56,5% من الناتج المحلي الإجمالي سنة 2017.","56,5%",1,1
w159,H,"ليس التزود الذي يصل 100%، بل العقلانية في التدبير ومعالجة التلوث.",العقلانية في التدبير ومعالجة التلوث,1,1
w129,H,مراعاة للعباسيين الذين اعترف المرابطون بسلطتهم الرمزية.,المعلومة غير متوفرة في النصوص,1,0
w116,H,في 23 أكتوبر 1458م بقيادة ألفونس الخامس.,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م وقائده كان ألفونس الخامس.,1,1
w070,H,غيروا اسمه إلى سان ميغيل دي أولطرامار.,المعلومة غير متوفرة في النصوص,0,0
w171,H,الحي المعروف باسم حي القيروانيين.,#NAME?,0,0
w175,H,في 2 مارس 1956.,2 مارس 1956,1,1
w046,H,"بلغ عدد الجماعات 1503 جماعة، منقسمة إلى 221 جماعة حضرية و1282 جماعة قروية.",1503 جماعة,1,1
w067,H,تصل سعتها إلى 1600 طن.,1600طن,1,1
w183,H,لم تخمد إلا على يد الإمبراطور كلوديوس.,على يد الإمبراطور كلوديوس خمدت ثورة إيديمون.,1,1
