qid,k,gold_in_context,n_passages,answer,faithful,correct,refused
w078,1,1,1,مدينة الحاجب كاينة على ارتفاع 1200 متر فوق سطح البحر.,1,1,0
w010,1,1,1,3.5٪,1,1,0
w083,1,1,1,"مساحة المعرض الدولي للفلاحة بالمغرب تقدر بـ 370,000 m2.",1,1,0
w165,1,1,1,محمد توري,1,1,0
w120,1,1,1,تنسب للقائد الحاحي محمد أغناج.,1,1,0
w090,1,1,1,"الcommittee aim is to propose measures aimed at improving the legal and regulatory framework for business, coordinate their implementation, and evaluate their impact on concerned sectors.",1,1,0
w069,1,1,1,1500 متر,1,1,0
w054,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w091,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w095,1,1,1,2 كم,1,1,0
w042,1,1,1,الصين,1,1,0
w094,1,1,1,نهر السنغال,1,1,0
w117,1,1,1,ألبرت حوراني,1,1,0
w200,1,1,1,"34,000 رجل",1,1,0
w158,1,1,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة.,1,1,0
w026,1,1,1,سنة 2025,1,1,0
w181,1,1,1,8300 طن في اليوم,1,1,0
w148,1,1,1,خالد آيت الطالب,1,1,0
w075,1,1,1,تنتشر السلالة ديال البقر والماس زعير في كل من منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,0
w059,1,1,1,بوليساريو اقترحت إقحام الصحراويين الذين تم إحصاؤهم من قبل الاستعمار الإسباني سنة 1974م.,1,1,0
w153,1,1,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0
w018,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w050,1,1,1,خفض الدين العام إلى 60% من إجمالي الناتج المحلي بحلول عام 2021,1,1,0
w093,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w076,1,1,1,سنة 1981,1,1,0
w142,1,1,1,عبد الوافي لفتيت,1,1,0
w021,1,1,1,55.8 %,1,1,0
w097,1,1,1,توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات,1,1,0
w032,1,1,1,المعلومة غير متوفرة في النصوص,0,0,1
w138,1,1,1,مصادر الدخل اللي اعتمدات عليهم جمهورية الريف هي: ضرائب على شكل نقود أو محاصيل، مداخيل الزكاة على شكل نقود أو محاصيل زراعية، غرامات، تبرعات السكان والقبائل، فداء الأسرى.,1,1,0
w118,1,1,1,المحامِك والوزارات والجيش,1,1,0
w012,1,1,1,فاتح أبريل 1998,1,1,0
w068,1,0,1,مدينة مكناس,1,1,0
w089,1,1,1,أُحدثت سنة 2009، ويرأسها رئيس الحكومة,1,1,0
w092,1,1,1,مدينة مراكش,1,1,0
w025,1,1,1,قطاعي السياحة والنسيج,1,1,0
w098,1,1,1,المدرسة البوعنانية تبنيت ففاس ما بين عامي 1350م و1355م,1,1,0
w183,1,1,1,على يد الإمبراطور كلوديوس خمدت ثورة إيديمون.,1,1,0
w191,1,1,1,Länder السيبة و Länder المخزن,1,1,0
w087,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w182,1,1,1,الاتحاد الأوروبي,1,1,0
w040,1,1,1,عدد المؤسسات الابتدائية التي استغلت في الدار البيضاء خلال الموسم الدراسي 2008/2009 هو 435 مدرسة.,1,1,0
w169,1,1,1,التجار العرب استقبلوا السلطان ففاس فـ825 نحو 2٬000 تاجر من القيروان في تونس.,1,1,0
w088,1,1,1,المساحة ديال المنطقة الحرة الأطلسية تقارب 500 هكتار.,1,1,0
w186,1,1,1,كليوباترا سيليني الثانية,1,1,0
w041,1,1,1,المغرب يتوفر على %75 من الاحتياطي العالمي ديال الفوسفاط.,1,1,0
w002,1,1,1,طنجة,1,1,0
w072,1,1,1,1614 و1681,1,1,0
w151,1,1,1,المستغلال اللي فرض على الأمازيغ من قبل الرومان، كسيطرة على الأراضي الفلاحية والأعباء المادية، واستعمال القوة لإخضاعهم.,1,1,0
w115,1,1,1,مسجد، وحمام، ومركز تجاري.,1,1,0
w057,1,1,1,سعيد العلام,1,1,0
w108,1,0,1,تجنب التوتر و المناقشة حول وضع المغرب,1,0,0
w192,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w167,1,0,1,أرياف أو الواحات أو قصور,1,0,0
w051,1,1,1,ثمانية وعشرين سنه,1,1,0
w144,1,1,1,نشأ بمدينة نفيس,1,1,0
w198,1,1,1,بويع ست مرات,1,1,0
w155,1,1,1,في سياق تدابير الإنعاش الاقتصادي المعتمدة في أعقاب جائحة كوفيد-19.,1,1,0
w130,1,0,1,البسيطي أنكاد وتافرطة,0,0,0
w060,1,1,1,الساقية الحمراء,1,1,0
w056,1,1,1,ترجع إلى 4000-ق-م 8000-ق.م,1,1,0
w024,1,1,1,بشحال زادو صادرات المغرب ديال النسيج لأمريكا فـ2006؟ نسبة %122,1,1,0
w008,1,1,1,المعدل انتقل من 10.5% إلى 21.4% بالوسط القروي.,1,1,0
w009,1,1,1,المعدل التضخمي بقي عند نسبة 0.7%.,1,1,0
w109,1,1,1,أحمد بن المهدي الغزال,1,1,0
w152,1,1,1,تاكفاريناس وأديمون,1,1,0
w023,1,0,1,15 جUNE 2004,1,0,0
w140,1,1,1,سياسة سحب الأراضي الزراعية من من يعجز أو يتهاون في زرعها.,1,1,0
w174,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w027,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w189,1,1,1,جائزة قارئ العام للعالم العربي,1,1,0
w036,1,0,1,المعلومة غير متوفرة في النصوص,1,1,1
w058,1,1,1,جائزة كتارا للرواية العربية وفأي عام 2020,1,1,0
w063,1,1,1,الزربية و الجلباب,1,1,0
w071,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w190,1,1,1,كونه يقسم المغرب إلى عالمين متمايزين ومنفصلين انفصالا كليا.,1,1,0
w007,1,1,1,شكيب بنموسى,1,1,0
w029,1,1,1,ساهم مخطط أليوتيس بشكل ملحوظ في تحديث قطاع الصيد البحري، حيث إنتقل الناتج الداخلي الخام لقطاع الصيد البحري بين سنتي 2007 و 2015 من 8.3 إلى 15 مليار درهم.,1,1,0
w164,1,0,1,عاد محمد الخامس إلى المغرب عام 1955م,1,0,0
w067,2,1,2,الوحدة لي كتحفظ التفاح تقدر تحفظ 1600 طن.,1,1,0
w188,2,1,2,ساعتين و11 دقيقة و34 ثانية,1,1,0
w102,2,1,2,تفوق 39.6,1,1,0
w194,2,1,2,لا زنينية,1,1,0
w112,2,1,2,كانوا ساكنين في الكهوف والمغارات.,1,1,0
w122,2,1,2,وفرة سمك الشابل والتون في أزمور والإقبال الأوروبي على شرائه كان سبباً مباشراً في استعجال احتلالها من طرف البرتغاليين.,1,1,0
w014,2,1,2,"36,8 مليون نسمة",1,1,0
w003,2,1,2,"نسبة الطاقات المتجددة فإنتاج الكهربا فالمغرب هي %19,6.",1,1,0
w065,2,1,2,عاشو في جماعات منعزلة ومغلقة، بغير علاقات واضحة حتى مع القبائل المجاورة.,1,1,0
w045,2,1,2,لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا,1,1,0
w137,2,1,2,المعلومة غير متوفرة في النصوص,0,0,1
w171,2,1,2,-Smith,1,1,0
w129,2,0,2,المعلومة غير متوفرة في النصوص,1,1,1
w077,2,1,2,سلالة مكناس,1,1,0
w159,2,0,2,المعلومة غير متوفرة في النصوص,0,0,1
w168,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w046,2,1,2,عدد الجماعات فالمغرب فـ2009 بلغ 1503 جماعة.,1,1,0
w131,2,1,2,الناس ديال تاوريرت تعتمدو تربية الماشية و الزراعة البورية فالمعيشة ديالهم.,1,1,0
w031,2,1,2,"56,5%",1,1,0
w004,2,1,2,"ارتفعت نسبة الطاقة الريحية من 2,8% في 2010 إلى 8,1% في 2015.",1,1,0
w160,2,1,2,بلغ عدد المنشورات بالعربية 3312 منشورًا.,1,1,0
w016,2,1,2,"انخفض تدريجياً إلى 0,85%.",1,1,0
w043,2,1,2,"وصل عدد سكان جماعة خنيفرة فـ2024 إلى 242,376 نسمة.",0,0,0
w127,2,1,2,altura 370 مترا,1,1,0
w187,2,1,2,حكم بطليموس الموريطاني من 23 حتى 40 ميلادية.,1,1,0
w163,2,1,2,5 ديسمبر 1952,1,1,0
w048,2,1,2,تساهم الزراعة المسقية في 75% من الصادرات الفلاحية,1,1,0
w111,2,1,2,أصفراو تعني المنطقة المقعرة بالأمازيغية.,1,1,0
w006,2,1,2,"وصل معدل البطالة على الصعيد الوطني في الفصل الثاني لسنة 2025 عند 12,8%.",1,1,0
w195,2,1,2,مهام الهيئة المغربية لسوق الرساميل هي حماية المدخرين والمستثمرين، مراقبة سير أسواق الرساميل، ضمان شفافية العمليات المالية، تنظيم المشاركين في السوق والأدوات المالية، تعزيز الثقافة المالية.,1,1,0
w038,2,1,2,وصل عدد سكان عين بني مطهر سنة 2014 إلى 16289 نسمة.,1,1,0
w123,2,1,2,سنة 1476,1,1,0
w013,2,1,2,حتى 31 دجنبر 2011,1,1,0
w037,2,0,2,المعلومة غير متوفرة في النصوص,0,0,1
w154,2,1,2,المقر الرئيسي في مدينة الرباط.,1,1,0
w070,2,0,2,المعلومة غير متوفرة في النصوص,0,0,1
w062,2,1,2,湯姆斯 جيفرسون,1,1,0
w196,2,1,2,ملك محمد السادس,1,0,0
w033,2,1,2,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0
w173,2,0,2,16 نونبر 1955,1,1,0
w172,2,1,2,أكتوبر 1955,1,1,0
w061,2,1,2,13 مايو 1801,1,1,0
w011,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w145,2,0,2,توفى باه ديال التهامي الكلاوي يوم اثنين من سنة 1956م، وشكون تكلف بيه من بعد الوزير لحسن اليوسي مبعوث الملك محمد الخامس.,0,0,0
w161,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w053,2,0,2,المزة فالمطبخ ديال يهود المغرب كتكون من توابل كتضم الزعفران، الكركم، والمردقوش، والقرفة، والزنجبيل، والفلفل الحار، والكزبرة الطازجة والمجففة، والكمون، والميس، ولويزة/لويزة ليمونية، ومليسة، ونعناع، وشيح.,1,0,0
w126,2,1,2,الرمز ديال مدينة سطات هو الحصان.,1,1,0
w107,2,1,2,حتى سنة 1959 بقا البنك المخزني كيدير دور البنك المركزي.,1,1,0
w074,2,0,2,المعلومة غير متوفرة في النصوص,0,0,1
w114,2,1,2,بعد 35 كلم,1,1,0
w106,2,1,2,تأسس البنك المخزني المغربي سنة 1906 في طنجة.,1,0,0
w096,2,1,2,مرسوم رقم 2.24.1122,1,1,0
w104,2,1,2,تداخل النزعة اللبرالية مع التوجيه الاقتصادي وإضافة سياسة تجارية حمائية وتدخل السلطates الحكومية في السياسات الاقتصادية والاجتماعية,1,1,0
w146,2,1,2,خمسة عشر سنه,1,1,0
w044,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w001,2,1,2,593168,1,1,0
w162,2,1,2,45 منشور,1,1,0
w193,2,1,2,لأن تزنيت مشهورة في إنتاج المجوهرات الفضية.,1,1,0
w017,2,1,2,"نسبة 88,8٪",1,1,0
w081,2,1,2,ثلاثة نهارات,1,0,0
w103,2,1,2,واد الشارف واد تبودة وادي مسخسخة وادي وزين,1,1,0
w039,2,1,2,منذ سنة 1995,1,1,0
w157,2,0,2,المعلومة غير متوفرة في النصوص,0,0,1
w177,2,1,2,منتزه NATIONAL لإفران، والبحيرات، والمصادر، والشلالات، والمجالات الغابوية، ومحطة ميشليفن للتزلج.,1,1,0
w136,2,1,2,67 %,1,1,0
w079,2,1,2,32 كلم,1,1,0
w116,2,1,2,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م بقيادة ألفونس الخامس.,1,1,0
w020,2,1,2,مواد التجهيز والمواد الغذائية,1,1,0
w015,2,1,2,"ارتفع معدل التمدن من 29% في 1960 إلى 62,8% في 2024.",1,1,0
w178,2,1,2,تأسس مركز المغرب العربي للدراسات الاستراتيجية في عام 1994.,1,1,0
w147,2,1,2,تدشين مستشفى القرب بأحفير تم في يوم 25 يوليوز 2024.,1,1,0
w180,2,1,2,تتمركز أغلب وحدات صناعة التجميد في جنوب المغرب بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0
w066,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w085,2,0,2,المشاكل اللي كتعاني منها مدينة مرزوكة هي الغياب المتكرر للأساتذة ومرافق المدرسة المهمشة وعدم وجود مدرسة إعدادية أو ثانوية.,1,0,0
w166,2,1,2,أسكيya دار أسكيا فالفترة ديال الحكم دياله من 1493 ل1528.,1,1,0
w047,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w105,2,1,2,إرساء الاستقلالية الاقتصادية,1,1,0
w080,2,1,2,المغارة التي تشبه وجه الأسد,1,1,0
w055,2,1,2,المواقع ديال النقوش الصخرية كاينة فإقليم السمارة.,1,1,0
w197,2,1,2,المعلومة غير متوفرة في النصوص,0,0,1
w086,2,1,2,فتحت المنطقة الحرة الأطلسية سنة 2012.,1,1,0
w119,2,1,2,مساحة القصبة المخزنية في تزنيت تقدر بـ 6704م² وأبراجها تبلغ 5.,1,1,0
w110,2,1,2,لتجديد الصلح بين الدولتين,1,1,0
w134,2,1,2,سجلماسة تبنات سنة 140 هـ/757م وشكون لي بناها عيسى بن يزيد الأسود.,1,1,0
w143,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w034,2,1,2,وصل إنتاج الطاقة الكهرمائية فـ2004 إلى 2700 مليون كيلواط.,1,1,0
w019,2,1,2,15%,1,1,0
w141,2,1,2,عزيز أخنوش,1,1,0
w124,2,1,2,لقب عاصمة الشاوية,1,1,0
w176,2,1,2,جامعة الأخوين,1,1,0
w064,2,1,2,صناعة الفخار، الدباغة، صياغة الحلي.,1,1,0
w084,2,1,2,الاقتصاد ديال مرزوكة يعتمد اقتصاديا على السياحة.,1,1,0
w149,2,1,2,七年,1,1,0
w101,2,1,2,المعلومة غير متوفرة في النصوص,0,1,1
w156,2,1,2,أحد أطباء.,1,1,0
w073,2,1,2,يوليو - غشت 1947,1,1,0
w028,2,1,2,طنجة وأكادير والعيون,1,1,0
w185,2,1,2,شرشال,1,1,0
w113,2,1,2,بلدة البهاليل,1,1,0
w052,2,1,2,19 ماي 1881م,1,1,0
w175,2,1,2,2 مارس 1956,1,1,0
w005,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w030,2,1,2,"1,46 مليون طن",1,1,0
w184,2,1,2,في روما,1,1,0
w100,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w099,2,1,2,باب بوجلود هو المدخل الرئيسي ديال فاس البالي.,1,1,0
w132,2,1,2,وسط واحة كبيرة جنوب الأطلس الكبير,1,1,0
w125,2,1,2,83 كم,1,1,0
w199,2,1,2,خلال القرن 17، عندما أعاد السلطان العلوي محمد الثالث بناء مدينة الصويرة على النمط العصري وبنى فيها ميناء جديدا وقاعدة عسكرية بحرية، تحولت الصويرة إلى العاصمة الاقتصادية للمغرب.,1,1,0
w135,2,1,2,من 17% إلى 19%.,1,1,0
w179,2,1,2,183,1,1,0
w121,2,1,2,نعم، كانت معروفة أوعبيد الله في العصر المريني.,1,1,0
w035,2,1,2,المدارات المسقية فل 7% و10% حسب الحالة المائية للسنة,1,1,0
w049,2,1,2,"±2,5%",1,0,0
w170,2,0,2,المعلومة غير متوفرة في النصوص,0,0,1
w139,2,1,2,20 ألف بيزيتا سنويا,1,1,0
w150,2,1,2,مهرجانها الثقافي الدولي,1,1,0
w133,2,1,2,مدينة القيروان,1,1,0
w128,2,1,2,البياض,1,1,0
w022,2,1,2,المعلومة غير متوفرة في النصوص,0,0,1
w082,2,1,2,الأيام الثلاثة الأولى مخصصة للمحترفين، والأيام الثلاثة الأخرى مفتوحة لعامة الناس.,1,1,0
w078,2,1,2,مدينة الحاجب كاينة على ارتفاع 1200 متر فوق سطح البحر.,1,1,0
w010,2,1,2,3.5٪,1,1,0
w083,2,1,2,"مساحة المعرض الدولي للفلاحة بالمغرب تقدر بـ 370,000 m2.",1,1,0
w165,2,1,2,محمد توري طيح سني أبو بكر في الإمبراطورية صنغاي.,1,1,0
w120,2,1,2,تنسب إلى القائد الحاحي محمد أغناج.,1,1,0
w090,2,1,2,الcommittee's objective is to improve the business environment legal and organizational framework.,1,0,0
w069,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w054,2,0,2,زيت الزيتون,0,0,0
w091,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w095,2,1,2,2 كم,1,1,0
w042,2,1,2,الصين,1,1,0
w094,2,1,2,شنقيط,0,0,0
w117,2,1,2,ألبرت حوراني,1,1,0
w200,2,1,2,"34,000 رجل",1,1,0
w158,2,1,2,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة.,1,1,0
w026,2,1,2,سنة 2025,1,1,0
w181,2,1,2,حوالي 8300 طن في اليوم الواحد,1,1,0
w148,2,1,2,خالد آيت الطالب,1,1,0
w075,2,1,2,تنتشر السلالة ديال البقر والماس زعير في منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,0
w059,2,1,2,بوليساريو اقترحت الصحراويين الذين تم إحصاؤهم من طرف الإدارة الإسبانية عام 1974م.,1,1,0
w153,2,1,2,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0
w018,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w050,2,1,2,خفض الدين العام إلى 60% من إجمالي الناتج المحلي بحلول عام 2021,1,1,0
w093,2,1,2,منذ إستقلال موريتانيا عن فرنسا سنة 1960.,0,0,0
w076,2,1,2,سنة 1981,1,1,0
w142,2,1,2,عبد الوافي لفتيت,1,1,0
w021,2,1,2,55.8 %,1,1,0
w097,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w032,2,1,2,المتوسط 3.750 دولار أمريكي للفرد,1,1,0
w138,2,1,2,مصادر الدخل اللي اعتمدات عليهم جمهورية الريف هي: الزكاة، الغرامات، التبرعات، فداء الأسرى.,1,1,0
w118,2,1,2,المحامِك والوزارات والجيش,1,1,0
w012,2,1,2,فاتح أبريل 1998,1,1,0
w068,2,1,2,مدينة مكناس,1,1,0
w089,2,1,2,المعلومة غير متوفرة في النصوص,1,1,1
w092,2,1,2,المعلومة غير متوفرة في النصوص,0,1,1
w025,2,1,2,المعلومة غير متوفرة في النصوص,0,0,1
