qid,condition,gold_in_context,answer,faithful,correct,refused,latin_ratio,code_switched
w099,C2_darija_base,1,باب بوجلود هو المدخل الرئيسي ديال فاس البالي.,1,1,0,0.0,0
w135,C2_darija_base,1,من 17% إلى 19%.,1,1,0,0.0,0
w179,C2_darija_base,1,183,1,1,0,0.0,0
w121,C2_darija_base,1,نعم، كانت معروفة أوعبيد الله في العصر المريني.,1,1,0,0.0,0
w170,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w139,C2_darija_base,1,20 ألف بيزيتا سنويا,1,1,0,0.0,0
w165,C2_darija_base,1,محمد توري,1,1,0,0.0,0
w120,C2_darija_base,1,تنسب إلى القائد الحاحي محمد أغناج.,1,1,0,0.0,0
w158,C2_darija_base,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة ما بين العامين 1992 و2004.,1,1,0,0.0,0
w181,C2_darija_base,1,حوالي 8300 طن في اليوم الواحد,1,1,0,0.0,0
w075,C2_darija_base,1,زمور وزعير وقبائل زيان خاصة في منطقة مريرت,1,1,0,0.0,0
w153,C2_darija_base,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0,0.0,0
w076,C2_darija_base,1,سنة 1981,1,1,0,0.0,0
w097,C2_darija_base,1,نص [1],1,1,0,0.0,0
w032,C2_darija_base,1,3.750 دولار أمريكي,1,1,0,0.0,0
w138,C2_darija_base,1,مصادر الدخل اللي اعتمدات عليهم جمهورية الريف هي: ضرائب على شكل نقود أو محاصيل، مداخيل الزكاة على شكل نقود أو محاصيل زراعية، غرامات، تبرعات السكان والقبائل، وفداء الأسرى.,1,1,0,0.0,0
w012,C2_darija_base,1,فاتح أبريل 1998,1,1,0,0.0,0
w098,C2_darija_base,1,1350م و1355م,1,1,0,0.0,0
w182,C2_darija_base,1,الاتحاد الأوروبي,1,1,0,0.0,0
w169,C2_darija_base,1,"نحو 2,000 تاجر عربي من القيروان في تونس.",1,1,0,0.0,0
w072,C2_darija_base,1,1614 - 1681,1,1,0,0.0,0
w108,C2_darija_base,0,الأزمة المغربية الأولى عام 1905 بين فرنسا وألمانيا.,1,1,0,0.0,0
w051,C2_darija_base,1,ثماني وعشرين سنة,1,1,0,0.0,0
w155,C2_darija_base,1,يوليو 2020,1,1,0,0.0,0
w130,C2_darija_base,1,منتصب جهتي الشمال والغرب من السلاسل الجبلية المنتصبة من جهتي الشمال والغرب,1,1,0,0.0,0
w056,C2_darija_base,1,ترجع النقوش الصخرية إلى 4000-ق-م 8000-ق.م,1,1,0,0.0,0
w140,C2_darija_base,1,سياسة سحب الأراضي الزراعية من من يعجز أو يتهاون في زرعها.,1,1,0,0.0,0
w189,C2_darija_base,1,"جائزة ""قارئ العام للعالم العربي""",1,1,0,0.0,0
w036,C2_darija_base,0,المغرب يستورد 40% حتى 60% من حاجياته من الحبوب حسب الحالة المناخية.,1,1,0,0.0,0
w071,C2_darija_base,1,1500 جندي,1,1,0,0.0,0
w164,C2_darija_base,1,طنجة,1,0,0,0.0,0
w188,C3_darija_finetuned,1,ساعتين و11 دقيقة و34 ثانية,1,1,0,0.0,0
w045,C3_darija_finetuned,1,لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا,1,1,0,0.0,0
w137,C3_darija_finetuned,1,100 درهم,1,1,0,0.0,0
w171,C3_darija_finetuned,1,-Smithiya Hay Hay Al-Qirawaniyn,1,1,0,0.8387096774193549,1
w077,C3_darija_finetuned,1,سلالة مكناس,1,1,0,0.0,0
w159,C3_darija_finetuned,0,ضعف تطور القطاع الصناعي الوطني,0,0,0,0.0,0
w131,C3_darija_finetuned,0,المهاجرين القاطنين بديار المهجر,0,0,0,0.0,0
w031,C3_darija_finetuned,1,56.5%,1,1,0,0.0,0
w160,C3_darija_finetuned,1,3312,1,1,0,0.0,0
w163,C3_darija_finetuned,1,5 ديسمبر 1952,1,1,0,0.0,0
w048,C3_darija_finetuned,1,تساهم في 75% من الصادرات الفلاحية,1,1,0,0.0,0
w195,C3_darija_finetuned,1,مهام الهيئة المغربية لسوق الرساميل تتضمن حماية المدخرين والمستثمرين، مراقبة سير أسواق الرساميل، ضمان شفافية العمليات المالية، تنظيم المشاركين في السوق والأدوات المالية، تعزيز الثقافة المالية.,1,1,0,0.0,0
w013,C3_darija_finetuned,1,غاية 31 دجنبر 2011,1,1,0,0.0,0
w037,C3_darija_finetuned,0,نسبة كبيرة من القوى العاملة في المغرب تشغل الفلاحة.,1,0,0,0.0,0
w154,C3_darija_finetuned,1,مدينة الرباط,1,1,0,0.0,0
w070,C3_darija_finetuned,0,سنة 1614,0,0,0,0.0,0
w196,C3_darija_finetuned,1,الملك محمد السادس,1,1,0,0.0,0
w033,C3_darija_finetuned,1,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0,0.0,0
w161,C3_darija_finetuned,0,المعلومة غير متوفرة في النصوص,0,0,1,0.0,0
w107,C3_darija_finetuned,1,1955,0,0,0,0.0,0
w074,C3_darija_finetuned,0,قبائل بني يعلى، أولاد سدي علي بوشنافة، بني كيل، بني مطهر...,1,1,0,0.0,0
w106,C3_darija_finetuned,1,تأسس البنك المخزني المغربي سنة 1906 في طنجة.,1,0,0,0.0,0
w096,C3_darija_finetuned,1,مرسوم رقم 2.24.1122,1,1,0,0.0,0
w162,C3_darija_finetuned,1,45,1,1,0,0.0,0
w157,C3_darija_finetuned,1,مستشفى ومستوصف صحي ودار للولادة,1,1,0,0.0,0
w136,C3_darija_finetuned,1,67 %,1,1,0,0.0,0
w178,C3_darija_finetuned,1,"تأسس ""مركز المغرب العربي للدراسات الاستراتيجية"" في عام 1994.",1,1,0,0.0,0
w180,C3_darija_finetuned,1,تتمركز أغلب وحدات صناعة التجميد في جنوب المغرب بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0,0.0,0
w166,C3_darija_finetuned,1,1493-1591,1,1,0,0.0,0
w047,C3_darija_finetuned,1,1050000 هكتار,1,1,0,0.0,0
w055,C3_darija_finetuned,1,المواقع ديال النقوش الصخرية كاينة فإقليم السمارة.,1,1,0,0.0,0
w119,C3_darija_finetuned,1,مساحة القصبة المخزنية في تزنيت تقدر ب 16900 م²، وعدد أبراجها 9.,0,0,0,0.0,0
w149,C3_darija_finetuned,1,七年,1,1,0,0.0,0
w156,C3_darija_finetuned,0,المعلومة غير متوفرة في النصوص,0,0,1,0.0,0
w073,C3_darija_finetuned,1,يوليو - غشت 1947,1,1,0,0.0,0
w052,C3_darija_finetuned,1,19 ماي 1881م,1,1,0,0.0,0
w100,C3_darija_finetuned,1,تتسع الطائرة بوينغ 767-300 لـ 167 مقعدا.,1,1,0,0.0,0
w099,C3_darija_finetuned,1,باب الجديد,0,0,0,0.0,0
w135,C3_darija_finetuned,1,من 17% إلى 19%.,1,1,0,0.0,0
w179,C3_darija_finetuned,1,183,1,1,0,0.0,0
w121,C3_darija_finetuned,1,نعم، كانت معروفة أوعبيد الله في العصر المريني.,1,1,0,0.0,0
w170,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w139,C3_darija_finetuned,1,20 ألف بيزيتا سنويا,1,1,0,0.0,0
w165,C3_darija_finetuned,1,محمد توري,1,1,0,0.0,0
w120,C3_darija_finetuned,1,تنسب إلى القائد الحاحي محمد أغناج,1,1,0,0.0,0
w158,C3_darija_finetuned,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة ما بين العامين 1992 و2004.,1,1,0,0.0,0
w181,C3_darija_finetuned,1,حوالي 8300 طن في اليوم الواحد,1,1,0,0.0,0
w075,C3_darija_finetuned,1,زمور وزعير وقبائل زيان خاصة في منطقة مريرت,1,1,0,0.0,0
w153,C3_darija_finetuned,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0,0.0,0
w076,C3_darija_finetuned,1,سنة 1981,1,1,0,0.0,0
w097,C3_darija_finetuned,1,توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات,1,1,0,0.0,0
w032,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w138,C3_darija_finetuned,1,مصادر الدخل اللي اعتمدات عليهم جمهورية الريف هي: الضرائب، الزكاة، الغرامات، التبرعات، فداء الأسرى.,1,1,0,0.0,0
w012,C3_darija_finetuned,1,فاتح أبريل 1998,1,1,0,0.0,0
w098,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w182,C3_darija_finetuned,1,الاتحاد الأوروبي,1,1,0,0.0,0
w169,C3_darija_finetuned,1,"استقبل السلطان ففاس نحو 2,000 من التجار العرب القادمين من القيروان في تونس.",1,1,0,0.0,0
w072,C3_darija_finetuned,1,1614 و1681,1,1,0,0.0,0
w108,C3_darija_finetuned,0,الأزمة المغربية الأولى عام 1905 بين فرنسا وألمانيا.,0,1,0,0.0,0
w051,C3_darija_finetuned,1,ثماني وعشرين سنة,1,1,0,0.0,0
w155,C3_darija_finetuned,1,أُعلن عن إحداث الصندوق في يوليوز 2020.,1,1,0,0.0,0
w130,C3_darija_finetuned,1,منتصب جهتي الشمال والغرب من السلاسل الجبلية المنتصبة من جهتي الشمال والغرب,1,1,0,0.0,0
w056,C3_darija_finetuned,1,4000-ق-م 8000-ق.م,1,1,0,0.0,0
w140,C3_darija_finetuned,1,سياسة سحب الأراضي الزراعية من من يعجز أو يتهاون في زرعها.,1,1,0,0.0,0
w189,C3_darija_finetuned,1,"جائزة ""قارئ العام للعالم العربي""",1,1,0,0.0,0
w036,C3_darija_finetuned,0,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w071,C3_darija_finetuned,1,1500 جندي,1,1,0,0.0,0
w164,C3_darija_finetuned,1,دار طنجة,0,0,0,0.0,0
w188,C4_oracle,1,ساعتين و11 دقيقة و34 ثانية,1,1,0,0.0,0
w045,C4_oracle,1,لتشجيع الاستثمارات والصادرات,1,1,0,0.0,0
w137,C4_oracle,1,100 درهم,1,1,0,0.0,0
w171,C4_oracle,1,-Smithiya li hayati li istaqro fih at-tajareel li jaaw min al-qirawaan -Smithiya li hayati li istaqro fih at-tajareel li jaaw min al-qirawaan,1,1,0,0.8085106382978723,1
w077,C4_oracle,1,سلالة مكناس,1,1,0,0.0,0
w159,C4_oracle,1,العقلانية في التدبير ومعالجة التلوث,1,1,0,0.0,0
w131,C4_oracle,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w031,C4_oracle,1,"56,5%",1,1,0,0.0,0
w160,C4_oracle,1,3312,1,1,0,0.0,0
w163,C4_oracle,1,5 ديسمبر 1952,1,1,0,0.0,0
w048,C4_oracle,1,تساهم في 75% من الصادرات الفلاحية,1,1,0,0.0,0
w195,C4_oracle,1,حماية المدخرين والمستثمرين؛ مراقبة سير أسواق الرساميل؛ ضمان شفافية العمليات المالية؛ تنظيم المشاركين في السوق والأدوات المالية؛ تعزيز الثقافة المالية,1,1,0,0.0,0
w013,C4_oracle,1,31 دجنبر 2011,1,1,0,0.0,0
w037,C4_oracle,1,نصف عدد السكان,1,1,0,0.0,0
w154,C4_oracle,1,مدينة الرباط,1,1,0,0.0,0
w070,C4_oracle,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w196,C4_oracle,1,ملك محمد السادس,1,0,0,0.0,0
w033,C4_oracle,1,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0,0.0,0
w161,C4_oracle,1,جِلد الإبل أش كتتصنع آلة الكمبري.,1,1,0,0.0,0
w107,C4_oracle,1,1955,0,0,0,0.0,0
w074,C4_oracle,1,رؤساء العائلات,1,1,0,0.0,0
w106,C4_oracle,1,سنة 1907 في طنجة,1,1,0,0.0,0
w096,C4_oracle,1,مرسوم رقم 2.24.1122,1,1,0,0.0,0
w162,C4_oracle,1,45 منشور,1,1,0,0.0,0
w157,C4_oracle,1,مستشفى دار للولادة مستوصف صحي,1,1,0,0.0,0
w136,C4_oracle,1,67 %,1,1,0,0.0,0
w178,C4_oracle,1,في عام 1994,1,1,0,0.0,0
w180,C4_oracle,1,كتترکز أغلب وحدات صناعة التجميد في جنوب المغرب علاش تطوير صيد الرخويات والصيد السطحي.,1,1,0,0.0,0
w166,C4_oracle,1,أسكيا دار فالفترة ديال الحكم ديال أسكيا (1493-1528).,1,1,0,0.0,0
w047,C4_oracle,1,1050000 هكتار,1,1,0,0.0,0
w055,C4_oracle,1,أربعة وثلاثون موقعا,1,1,0,0.0,0
w119,C4_oracle,1,المساحة ديال القصبة المخزنية فتزنيت هي 6704م² وعدد الأبراج فيها هو 5,1,1,0,0.0,0
w149,C4_oracle,1,七年,1,1,0,0.0,0
w156,C4_oracle,1,طبيب واحد,1,1,0,0.0,0
w073,C4_oracle,1,يوليوز - غشت 1947,1,1,0,0.0,0
w052,C4_oracle,1,19 ماي 1881م,1,1,0,0.0,0
w100,C4_oracle,1,167 مقعدا,1,1,0,0.0,0
w099,C4_oracle,1,باب بوجلود,1,1,0,0.0,0
w135,C4_oracle,1,من 17% إلى 19%.,1,1,0,0.0,0
w179,C4_oracle,1,72%,0,0,0,0.0,0
w121,C4_oracle,1,نعم، كانت معروفة أوعبيد الله في العصر المريني.,1,1,0,0.0,0
w170,C4_oracle,1,九年八五一年,1,1,0,0.0,0
w139,C4_oracle,1,20 ألف بيزيتا سنويا,1,1,0,0.0,0
w165,C4_oracle,1,محمد توري,1,1,0,0.0,0
w120,C4_oracle,1,تنسب للقائد الحاحي محمد أغناج,1,1,0,0.0,0
w158,C4_oracle,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة.,1,1,0,0.0,0
w181,C4_oracle,1,حوالي 8300 طن في اليوم,1,1,0,0.0,0
w075,C4_oracle,1,منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت,1,1,0,0.0,0
w153,C4_oracle,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0,0.0,0
w076,C4_oracle,1,سنة 1981,1,1,0,0.0,0
w097,C4_oracle,1,توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية,1,1,0,0.0,0
w032,C4_oracle,1,3.750 دولار أمريكي,1,1,0,0.0,0
w138,C4_oracle,1,مصادر الدخل اللي اعتمدات عليهم جمهورية الريف هي: ضرائب على شكل نقود أو محاصيل، مداخيل الزكاة على شكل نقود أو محاصيل زراعية، غرامات، تبرعات السكان والقبائل، فداء الأسرى.,1,1,0,0.0,0
w012,C4_oracle,1,فاتح أبريل 1998,1,1,0,0.0,0
w098,C4_oracle,1,1350م و1355م,1,1,0,0.0,0
w182,C4_oracle,1,الاتحاد الأوروبي,1,1,0,0.0,0
w169,C4_oracle,1,استقبل السلطان فاس 2٬000 من التجار العرب القادمين من القيروان في تونس.,1,1,0,0.0,0
w072,C4_oracle,1,1614 و1681,1,1,0,0.0,0
w108,C4_oracle,1,المديونية الخارجية للمغرب,1,1,0,0.0,0
w051,C4_oracle,1,ثمانية وعشرين سنه,1,1,0,0.0,0
w155,C4_oracle,1,في سياق تدابير الإنعاش الاقتصادي المعتمدة في أعقاب جائحة كوفيد-19,1,1,0,0.0,0
w130,C4_oracle,1,جهات الشمال والغرب,1,1,0,0.0,0
w056,C4_oracle,1,4000-ق-م 8000-ق.م,1,1,0,0.0,0
w140,C4_oracle,1,سياسة سحب الأراضي الزراعية من من يعجز أو يتهاون في زرعها.,1,1,0,0.0,0
w189,C4_oracle,1,جائزة قارئ العام للعالم العربي,1,1,0,0.0,0
w036,C4_oracle,1,40% حتى 60%,1,1,0,0.0,0
w071,C4_oracle,1,1500 جندي,1,1,0,0.0,0
w164,C4_oracle,1,طنجة,1,0,0,0.0,0
