qid,condition,gold_in_context,answer,faithful,correct,refused
w150,C1_msa_e5,1,مدينة أصيلة تشتهر بالقصبة التاريخية وأسوارها وأبوابها المصنفة كتراث وطني، وبمهرجانها الثقافي الدولي، وبالمعالم التاريخية والأثرية الغنية.,1,1,0
w133,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1
w128,C1_msa_e5,0,الراية البيضاء,1,1,0
w022,C1_msa_e5,1,مليون دولار يوميا,1,1,0
w082,C1_msa_e5,1,الأيام الثلاثة الأولى مخصصة للمحترفين، والأيام الثلاثة الأخرى مفتوحة لعامة الناس.,1,1,0
w078,C1_msa_e5,1,على ارتفاع 1200 متر فوق سطح البحر.,1,1,0
w010,C1_msa_e5,1,انخفض عجز الموازنة من 4.4% إلى 3.5% من إجمالي الناتج المحلي في 2017.,1,0,0
w083,C1_msa_e5,1,"مساحة المعرض الدولي للفلاحة بالمغرب تبلغ 370,000 m2.",1,1,0
w165,C1_msa_e5,1,محمد توري,1,1,0
w120,C1_msa_e5,1,تنسب إلى القائد الحاحي محمد أغناج,1,1,0
w090,C1_msa_e5,1,الهدف من اللجنة الوطنية لمناخ الأعمال هو تحسين مناخ الأعمال وتعزيز جاذبية المغرب للاستثمارات.,1,0,0
w069,C1_msa_e5,1,تتنخفض درجات الحرارة بشكل ملحوظ في المرتفعات التي تتجاوز 1500 متر.,1,1,0
w054,C1_msa_e5,1,بالفلفل وزيت الزيتون والكمون.,1,1,0
w091,C1_msa_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w095,C1_msa_e5,1,2 كم,1,1,0
w042,C1_msa_e5,1,الصين,1,1,0
w094,C1_msa_e5,1,نهر السنغال,1,1,0
w117,C1_msa_e5,1,ألبرت حوراني,1,1,0
w200,C1_msa_e5,1,"34,000 رجل",1,1,0
w158,C1_msa_e5,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة بين 1992 و2004.,1,1,0
w026,C1_msa_e5,1,سنة 2025,1,1,0
w181,C1_msa_e5,1,حوالي 8300 طن في اليوم الواحد,1,1,0
w148,C1_msa_e5,1,وزير الصحة والحماية الاجتماعية خالد آيت الطالب,1,1,0
w075,C1_msa_e5,1,تنتشر سلالة الأبقار والماس زعير في كل من منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,0
w059,C1_msa_e5,1,البوليساريو اقترحت إشراك الصحراويين الذين تم إحصاؤهم من طرف الإدارة الإسبانية عام 1974م في الاستفتاء.,1,1,0
w153,C1_msa_e5,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0
w018,C1_msa_e5,1,9.4٪,1,1,0
w050,C1_msa_e5,1,خفض الدين العام إلى 60% من إجمالي الناتج المحلي بحلول عام 2021.,1,1,0
w093,C1_msa_e5,1,منذ سنة 1960 يتبع إقليم شنقيط لموريتانيا.,1,1,0
w076,C1_msa_e5,1,سنة 1981,1,1,0
w142,C1_msa_e5,1,عبد الوافي لفتيت,0,1,0
w021,C1_msa_e5,1,55.8 %,1,1,0
w097,C1_msa_e5,1,توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات,1,1,0
w032,C1_msa_e5,1,3.750 دولار أمريكي,1,1,0
w138,C1_msa_e5,1,مصادر الدخل التي اعتمدتها جمهورية الريف هي: الضرائب، الزكاة، الغرامات، التبرعات، وفداء الأسرى.,1,1,0
w118,C1_msa_e5,1,المحامِك والوزارات والجيش,1,1,0
w012,C1_msa_e5,1,فاتح أبريل 1998,1,1,0
w068,C1_msa_e5,1,مدينة مكناس,1,1,0
w089,C1_msa_e5,1,أُحدثت اللجنة الوطنية لمناخ الأعمال سنة 2009 ويرأسها رئيس الحكومة.,1,1,0
w092,C1_msa_e5,1,مراكش,1,1,0
w025,C1_msa_e5,1,قطاعي السياحة والنسيج,1,1,0
w098,C1_msa_e5,1,المدرسة البوعنانية بُنيت ما بين عامي 1350م و1355م.,1,1,0
w183,C1_msa_e5,1,الإمبراطور كلوديوس,1,1,0
w191,C1_msa_e5,1,بلاد السيبة وبلاد المخزن,1,1,0
w087,C1_msa_e5,1,120 كيلومترًا,1,1,0
w182,C1_msa_e5,1,الاتحاد الأوروبي,1,1,0
w040,C1_msa_e5,1,عدد المدارس الابتدائية بالدار البيضاء خلال الموسم الدراسي 2008/2009 هو 435 مدرسة.,1,1,0
w169,C1_msa_e5,1,"نحو 2,000 تاجر عربي.",1,1,0
w088,C1_msa_e5,1,مساحة المنطقة الحرة الأطلسية تقارب 500 هكتار.,1,1,0
w186,C1_msa_e5,1,كليوباترا سيليني الثانية,1,1,0
w041,C1_msa_e5,1,المغرب يتوفر على %75 من احتياطي الفوسفات العالمي.,1,1,0
w002,C1_msa_e5,1,طنجة,1,1,0
w072,C1_msa_e5,1,بين 1614 و1681,1,1,0
w151,C1_msa_e5,1,الاستغلال الذي فرض على الأمازيغ من السيطرة على أراضيهم الفلاحية وأداء السخرة، واستعمال القوة لإخضاعهم.,1,1,0
w115,C1_msa_e5,1,مسجد، وحمام، ومركز تجاري.,1,1,0
w057,C1_msa_e5,1,سعيد العلام,1,1,0
w108,C1_msa_e5,0,الغرض الرئيسي من تنظيم مؤتمر الجزيرة الخضراء كان حل الأزمة المغربية الأولى وتحديد مصير المغرب كمستعمرة أوروبية.,1,1,0
w192,C1_msa_e5,1,تبعد تزنيت عن الرباط بـ690 كلم وعن أكادير بـ90 كلم.,1,1,0
w167,C1_msa_e5,1,تمتد مواطنهم من ضواحي تاهلة وسفوح جبال كندر جنوب فاس حتى تلمسان.,0,0,0
w051,C1_msa_e5,1,ثماني وعشرين سنة,1,1,0
w144,C1_msa_e5,1,مدينة نفيس,1,1,0
w198,C1_msa_e5,1,ست مرات,1,1,0
w155,C1_msa_e5,1,في سياق تدابير الإنعاش الاقتصادي المعتمدة في أعقاب جائحة كوفيد-19.,1,1,0
w130,C1_msa_e5,1,الجبال المنتصبة من جهتي الشمال والغرب.,1,1,0
w060,C1_msa_e5,1,السلطات الإسبانية رحلت القبائل الصحراوية إلى إقليم واد نون في المغرب سنة 1969.,1,1,0
w056,C1_msa_e5,1,يعد تاريخ النقوش الصخرية بالسمارة إلى 4000-8000 ق.م.,1,1,0
w024,C1_msa_e5,1,百分之一百二十二,1,1,0
w008,C1_msa_e5,1,من 10.5% في 2014 إلى 21.4% في 2024.,1,1,0
w009,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1
w109,C1_msa_e5,1,أحمد بن المهدي الغزال,1,1,0
w152,C1_msa_e5,1,أبرز زعماء المقاومة الأمازيغية ضد الرومان هم تاكفاريناس وأيديمون ودونات.,1,1,0
w023,C1_msa_e5,1,وقعت اتفاقية التجارة الحرة بين المغرب والولايات المتحدة في 15 يونيو 2004.,1,0,0
w140,C1_msa_e5,1,سياسة سحب الأراضي الزراعية من من يعجز أو يتهاون في زرعها.,1,1,0
w174,C1_msa_e5,1,القطارات، ومكاتب البريد، وثكنات الشرطة الاستعمارية، ومصالح المستوطنين الفرنسيين.,1,1,0
w027,C1_msa_e5,1,80.4٪,0,0,0
w189,C1_msa_e5,1,"جائزة ""قارئ العام للعالم العربي""",1,1,0
w036,C1_msa_e5,1,40% حتى 60%,1,1,0
w058,C1_msa_e5,1,جائزة كتارا للرواية العربية، سنة 2020,1,1,0
w063,C1_msa_e5,1,الصناعة التقليدية التي يتميز بها مركز الريش هي الزربية والجلباب.,1,1,0
w071,C1_msa_e5,1,1500,1,1,0
w190,C1_msa_e5,1,العالمان المتمايزان ومنفصلان انفصالا كليا.,1,1,0
w007,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1
w029,C1_msa_e5,1,Saskفت الناتج الداخلي الخام لقطاع الصيد البحري من 8.3 إلى 15 مليار درهم بين 2007 و2015.,1,1,0
w164,C1_msa_e5,1,عاد إلى الدار البيضاء لمواساة أسر الضحايا ثم ذهب إلى طنجة ليلقي خطاباً.,1,1,0
w067,C2_darija_e5,1,1600طن,1,1,0
w188,C2_darija_e5,1,ساعتين و11 دقيقة و34 ثانية,1,1,0
w102,C2_darija_e5,1,تفوق 39.6,1,1,0
w194,C2_darija_e5,1,لا زنينية,1,1,0
w112,C2_darija_e5,1,كانوا ساكنين في الكهوف والمغارات.,1,1,0
w122,C2_darija_e5,1,وفرة سمك الشابل والتون في أزمور والإقبال الأوروبي على شرائه كان سبباً مباشراً في استعجال احتلالها من طرف البرتغاليين.,1,1,0
w014,C2_darija_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w003,C2_darija_e5,1,"نسبة الطاقات المتجددة فإنتاج الكهربا فالمغرب هي %19,6.",1,1,0
w065,C2_darija_e5,1,عاشو الأمازيغ ديال الأطلس المتوسط في جماعات منعزلة ومغلقة، بدون علاقات واضحة مع القبائل المجاورة.,1,1,0
w045,C2_darija_e5,1,لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا,1,1,0
w137,C2_darija_e5,1,100 درهم للراجلين,1,1,0
w171,C2_darija_e5,1,-Smithiya hay Hay al-Qirawaniyn,1,1,0
w129,C2_darija_e5,0,المعلومة غير متوفرة في النصوص,1,1,1
w077,C2_darija_e5,1,سلالة مكناس,1,1,0
w159,C2_darija_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w168,C2_darija_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w046,C2_darija_e5,1,عدد الجماعات فالمغرب فـ2009 بلغ 1503 جماعة.,1,1,0
w131,C2_darija_e5,0,المعيشة ديالهم تعتمد على مهاجريهم بالخارج.,0,0,0
w031,C2_darija_e5,1,56.5%,1,1,0
w004,C2_darija_e5,1,"النسبة ديال الطاقة الريحية ارتفعت من 2,8% سنة 2010 لتصبح 8,1% سنة 2015.",1,1,0
w160,C2_darija_e5,1,3312,1,1,0
w016,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,1,0,1
w043,C2_darija_e5,1,"وصل عدد سكان جماعة خنيفرة فـ2024 إلى 242,376 نسمة.",0,0,0
w127,C2_darija_e5,1,altura سطات على سطح البحر تبلغ 370 مترا.,1,1,0
w187,C2_darija_e5,1,حكم بطليموس الموريطاني من 23 ميلادية حتى 40 ميلادية.,1,1,0
w163,C2_darija_e5,1,5 ديسمبر 1952,1,1,0
w048,C2_darija_e5,1,تساهم في 75% من الصادرات الفلاحية.,1,1,0
w111,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,0,1,1
w006,C2_darija_e5,1,وصل معدل البطالة على الصعيد الوطني فالفصل الثاني ديال 2025 عند 12.8%.,1,1,0
w195,C2_darija_e5,1,تولى الهيئة المغربية لسوق الرساميل حماية المدخرين والمستثمرين وضمان شفافية العمليات المالية وتنظيم المشاركين في السوق والأدوات المالية وتعزيز الثقافة المالية.,1,1,0
w038,C2_darija_e5,1,وصل عدد سكان عين بني مطهر سنة 2014 إلى 16289 نسمة.,1,1,0
w123,C2_darija_e5,1,سنة 1476,1,1,0
w013,C2_darija_e5,1,غاية 31 دجنبر 2011,1,1,0
w037,C2_darija_e5,0,نحو 34% من مجموع القوى العاملة في المغرب.,1,0,0
w154,C2_darija_e5,1,المقر الرئيسي لصندوق محمد السادس للاستثمار في مدينة الرباط.,1,1,0
w070,C2_darija_e5,0,سنة 1614,0,0,0
w062,C2_darija_e5,1,توماس جيفرسون,1,1,0
w196,C2_darija_e5,1,الملك محمد السادس,1,0,0
w033,C2_darija_e5,1,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0
w173,C2_darija_e5,0,16 نونبر 1955,1,1,0
w172,C2_darija_e5,1,أكتوبر 1955,1,1,0
w061,C2_darija_e5,1,13 مايو 1801,1,1,0
w011,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,0,0,1
w145,C2_darija_e5,0,توفى باش مراكش التهامي الكلاوي يوم الاثنين من سنة 1956م على الساعة الواحدة بعد الظهر، ودُفن صباح الثلاثاء بضريح ابن سليمان الجزولي. من بعد وفاته، حضر جنازته وفد من الحكومة المغربية برئاسة الوزير لحسن اليوسي مبعوث الملك محمد الخامس.,0,0,0
w161,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,1,1,1
w053,C2_darija_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w126,C2_darija_e5,1,الرمز ديال مدينة سطات هو الحصان.,1,1,0
w107,C2_darija_e5,1,غاية 1959,1,1,0
w074,C2_darija_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w114,C2_darija_e5,1,بعد 35 كلم,1,1,0
w106,C2_darija_e5,1,تأسس البنك المخزني المغربي سنة 1907 في طنجة شمال المغرب.,1,1,0
w096,C2_darija_e5,1,مرسوم رقم 2.24.1122,1,1,0
w104,C2_darija_e5,1,نموذج اقتصادي مختلط تداخل فيه النزعة الليبرالية مع الاقتصاد الموجه,1,1,0
w146,C2_darija_e5,1,خمسة عشر سنة,1,1,0
w044,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,1,1,1
w001,C2_darija_e5,1,593168,1,1,0
w162,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,0,0,1
w193,C2_darija_e5,1,تشتهر تزنيت بصناعة وإنتاج المجوهرات الفضية، فلها هذا اللقب.,1,1,0
w017,C2_darija_e5,1,"نسبة الطاقات الأحفورية من استهلاك الطاقة الأولية في 2015 هي %88,8.",1,1,0
w081,C2_darija_e5,1,ثلاثة نهارات مخصصة للمحترفين، وثلاثة أخرى مفتوحة لعامة الناس.,1,0,0
w103,C2_darija_e5,1,أبرز الوديان ديال عين بني مطهر هوما واد الشارف، واد تبودة، وادي مسخسخة، وادي وزين.,1,1,0
w039,C2_darija_e5,1,في سنة 1995,1,1,0
w157,C2_darija_e5,1,مستشفى ومستوصف صحي ودار للولادة,1,1,0
w177,C2_darija_e5,1,منتزه NATIONAL إفران، والبحيرات، والمصادر، والشلالات، والمجالات الغابوية، ومحطة ميشليفن للتزلج.,1,1,0
w136,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,1,1,1
w079,C2_darija_e5,1,تبعد مدينة الحاجب عن مدينة مكناس بمسافة 32 كلم.,1,1,0
w116,C2_darija_e5,1,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م وقادة الحملة كان الملك ألفونس الخامس.,1,1,0
w020,C2_darija_e5,1,المواد الطاقية ومواد التجهيز.,1,1,0
w015,C2_darija_e5,1,"تطور معدل التمدن في المغرب من 29% سنة 1960 إلى 62,8% سنة 2024.",1,1,0
w178,C2_darija_e5,1,تأسس مركز المغرب العربي للدراسات الاستراتيجية في عام 1994.,1,1,0
w147,C2_darija_e5,1,25 يوليوز 2024,1,1,0
w180,C2_darija_e5,1,تتمركز أغلب وحدات صناعة التجميد في جنوب المغرب بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0
w066,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,0,1,1
w085,C2_darija_e5,0,المشاكل اللي كتعاني منها مدينة مرزوكة هي غياب الأساتذة ومرافق التعليم المهمشة وعدم وجود مدارس إعدادية أو ثانوية، وقلة التوعية من طرف الجهات المسؤولة، ومشكل استنزاف الفرشة المائية، وتدهور الغابات، وقلة الخصوبة، وتجريد المراعي، وجفاف الخطارات، ومشكل النظافة، وتلوث التربة، وقلة الموارد المائية.,0,0,0
w166,C2_darija_e5,1,أغمات,0,0,0
w047,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,1,1,1
w105,C2_darija_e5,1,أولى الأوراش الاقتصادية ديال أولى الحكومات المغربية من بعد الاستقلال تخص إرساء الاستقلالية الاقتصادية، لدولة خارجة للتو من الاستعمار.,1,1,0
w080,C2_darija_e5,1,المغارة التي تشبه وجه الأسد,1,1,0
w055,C2_darija_e5,1,المواقع ديال النقوش الصخرية كاينة فإقليم السمارة كاينش فالموقع اللي بعيان عليه شجرة ميرات، الفارسية، حوزة، واد ميران، واد وين سلوان، العصلي بوكراش.,1,0,0
w197,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,1,1,1
w086,C2_darija_e5,1,فتحت المنطقة الحرة الأطلسية سنة 2012.,1,1,0
w119,C2_darija_e5,1,مساحتها الإجمالية 6704م² وعدد أبراجها 5,1,1,0
w110,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,1,1,1
w134,C2_darija_e5,1,سجلماسة تبنات سنة 140 هـ/757م وشكون لي بناها عيسى بن يزيد الأسود.,1,1,0
w143,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,1,1,1
w034,C2_darija_e5,1,وصل إنتاج الطاقة الكهرمائية فـ2004 إلى 2700 مليون كيلواط.,1,1,0
w019,C2_darija_e5,1,15%,1,1,0
w141,C2_darija_e5,1,عزيز أخنوش,1,1,0
w124,C2_darija_e5,1,لقب عاصمة الشاوية,1,1,0
w176,C2_darija_e5,1,جامعة الأخوين,1,1,0
w064,C2_darija_e5,1,صناعة الفخار، الدباغة، صياغة الحلي.,1,1,0
w084,C2_darija_e5,0,قطاع تربية الماشية,0,0,0
w149,C2_darija_e5,1,七年,1,1,0
w101,C2_darija_e5,1,المعلومة غير متوفرة في النصوص,0,1,1
w156,C2_darija_e5,1,أثري من حقبة الاستعمار وقد أعيد إلى الخدمة وبه طبيب واحد,1,1,0
