encoder,subset,variant,alpha,R@1,R@3,R@5,R@10,MRR
GATE-AraBert-v1,wikipedia,msa_query,0.6,0.73,0.865,0.91,0.955,0.8134484126984128
GATE-AraBert-v1,wikipedia,darija_query,0.6,0.6,0.79,0.855,0.89,0.7045138888888889
GATE-AraBert-v1,wikipedia,M4_rulebased,0.6,0.605,0.785,0.85,0.9,0.709220238095238
GATE-AraBert-v1,wikipedia,M3_rule_expansion,0.6,0.62,0.795,0.85,0.885,0.7168452380952379
GATE-AraBert-v1,pilot,msa_query,0.6,0.8733333333333333,0.9466666666666667,0.96,0.9766666666666667,0.9115264550264551
GATE-AraBert-v1,pilot,darija_query,0.6,0.7233333333333334,0.8333333333333334,0.8733333333333333,0.91,0.7881865079365079
GATE-AraBert-v1,pilot,M4_rulebased,0.6,0.69,0.8133333333333334,0.85,0.89,0.7596283068783068
GATE-AraBert-v1,pilot,M3_rule_expansion,0.6,0.7233333333333334,0.83,0.8766666666666667,0.9033333333333333,0.7863928571428571
GATE-AraBert-v1,wikipedia,msa_query,0.8,0.63,0.82,0.85,0.91,0.7290476190476189
GATE-AraBert-v1,wikipedia,darija_query,0.8,0.545,0.725,0.815,0.865,0.6573174603174603
GATE-AraBert-v1,wikipedia,M4_rulebased,0.8,0.53,0.73,0.775,0.86,0.6444880952380952
GATE-AraBert-v1,wikipedia,M3_rule_expansion,0.8,0.575,0.725,0.785,0.855,0.6675892857142856
GATE-AraBert-v1,pilot,msa_query,0.8,0.8466666666666667,0.94,0.9666666666666667,0.98,0.8971481481481481
GATE-AraBert-v1,pilot,darija_query,0.8,0.7133333333333334,0.84,0.8833333333333333,0.9066666666666666,0.7832023809523809
GATE-AraBert-v1,pilot,M4_rulebased,0.8,0.6733333333333333,0.7966666666666666,0.84,0.8733333333333333,0.7452195767195767
GATE-AraBert-v1,pilot,M3_rule_expansion,0.8,0.7133333333333334,0.84,0.89,0.9033333333333333,0.7806613756613757
GATE-AraBert-v1,wikipedia,msa_query,1.0,0.46,0.64,0.68,0.755,0.5569404761904762
GATE-AraBert-v1,wikipedia,darija_query,1.0,0.43,0.565,0.62,0.72,0.5171130952380952
GATE-AraBert-v1,wikipedia,M4_rulebased,1.0,0.415,0.58,0.645,0.7,0.5091924603174603
GATE-AraBert-v1,wikipedia,M3_rule_expansion,1.0,0.425,0.53,0.64,0.71,0.5065734126984127
GATE-AraBert-v1,pilot,msa_query,1.0,0.7333333333333333,0.8433333333333334,0.89,0.92,0.7978743386243387
GATE-AraBert-v1,pilot,darija_query,1.0,0.58,0.6833333333333333,0.7333333333333333,0.7966666666666666,0.6429722222222223
GATE-AraBert-v1,pilot,M4_rulebased,1.0,0.5433333333333333,0.66,0.7,0.7533333333333333,0.609191798941799
GATE-AraBert-v1,pilot,M3_rule_expansion,1.0,0.57,0.68,0.73,0.7866666666666666,0.6384417989417989
Arabic-Triplet-Matryoshka-V2,wikipedia,msa_query,0.0,0.665,0.865,0.91,0.94,0.770484126984127
Arabic-Triplet-Matryoshka-V2,wikipedia,darija_query,0.0,0.545,0.705,0.775,0.865,0.6456031746031746
Arabic-Triplet-Matryoshka-V2,wikipedia,M4_rulebased,0.0,0.525,0.695,0.775,0.85,0.6287698412698413
Arabic-Triplet-Matryoshka-V2,wikipedia,M3_rule_expansion,0.0,0.54,0.71,0.775,0.86,0.6422043650793651
Arabic-Triplet-Matryoshka-V2,pilot,msa_query,0.0,0.8033333333333333,0.88,0.9033333333333333,0.9233333333333333,0.8482301587301587
Arabic-Triplet-Matryoshka-V2,pilot,darija_query,0.0,0.5633333333333334,0.7266666666666667,0.7633333333333333,0.8033333333333333,0.6507460317460317
Arabic-Triplet-Matryoshka-V2,pilot,M4_rulebased,0.0,0.5433333333333333,0.7,0.74,0.7933333333333333,0.6264272486772486
Arabic-Triplet-Matryoshka-V2,pilot,M3_rule_expansion,0.0,0.5533333333333333,0.72,0.76,0.8033333333333333,0.6418902116402116
Arabic-Triplet-Matryoshka-V2,wikipedia,msa_query,0.2,0.72,0.9,0.915,0.95,0.8098809523809524
Arabic-Triplet-Matryoshka-V2,wikipedia,darija_query,0.2,0.56,0.745,0.825,0.885,0.6684900793650794
Arabic-Triplet-Matryoshka-V2,wikipedia,M4_rulebased,0.2,0.555,0.735,0.81,0.87,0.6590119047619047
Arabic-Triplet-Matryoshka-V2,wikipedia,M3_rule_expansion,0.2,0.565,0.75,0.815,0.88,0.670422619047619
Arabic-Triplet-Matryoshka-V2,pilot,msa_query,0.2,0.8366666666666667,0.91,0.92,0.93,0.8749801587301587
Arabic-Triplet-Matryoshka-V2,pilot,darija_query,0.2,0.65,0.7833333333333333,0.8166666666666667,0.85,0.7206428571428571
Arabic-Triplet-Matryoshka-V2,pilot,M4_rulebased,0.2,0.6,0.7633333333333333,0.8066666666666666,0.8333333333333334,0.6821428571428573
Arabic-Triplet-Matryoshka-V2,pilot,M3_rule_expansion,0.2,0.62,0.7766666666666666,0.8166666666666667,0.8366666666666667,0.6992037037037038
Arabic-Triplet-Matryoshka-V2,wikipedia,msa_query,0.4,0.745,0.905,0.93,0.97,0.8304980158730159
Arabic-Triplet-Matryoshka-V2,wikipedia,darija_query,0.4,0.58,0.795,0.835,0.895,0.6905039682539683
Arabic-Triplet-Matryoshka-V2,wikipedia,M4_rulebased,0.4,0.58,0.775,0.835,0.89,0.6888710317460317
Arabic-Triplet-Matryoshka-V2,wikipedia,M3_rule_expansion,0.4,0.59,0.785,0.835,0.895,0.6952956349206348
Arabic-Triplet-Matryoshka-V2,pilot,msa_query,0.4,0.85,0.9233333333333333,0.9333333333333333,0.9433333333333334,0.8875
Arabic-Triplet-Matryoshka-V2,pilot,darija_query,0.4,0.71,0.82,0.8566666666666667,0.8766666666666667,0.7706428571428571
Arabic-Triplet-Matryoshka-V2,pilot,M4_rulebased,0.4,0.68,0.8033333333333333,0.84,0.8633333333333333,0.7462037037037036
Arabic-Triplet-Matryoshka-V2,pilot,M3_rule_expansion,0.4,0.6933333333333334,0.8233333333333334,0.8566666666666667,0.87,0.7597870370370371
Arabic-Triplet-Matryoshka-V2,wikipedia,msa_query,0.6,0.75,0.88,0.905,0.98,0.828140873015873
Arabic-Triplet-Matryoshka-V2,wikipedia,darija_query,0.6,0.625,0.79,0.835,0.905,0.7176805555555554
Arabic-Triplet-Matryoshka-V2,wikipedia,M4_rulebased,0.6,0.625,0.79,0.84,0.905,0.7179702380952381
Arabic-Triplet-Matryoshka-V2,wikipedia,M3_rule_expansion,0.6,0.625,0.8,0.825,0.91,0.7185654761904762
Arabic-Triplet-Matryoshka-V2,pilot,msa_query,0.6,0.8933333333333333,0.9633333333333334,0.9766666666666667,0.9866666666666667,0.9293465608465609
Arabic-Triplet-Matryoshka-V2,pilot,darija_query,0.6,0.78,0.88,0.9133333333333333,0.9433333333333334,0.8358994708994709
Arabic-Triplet-Matryoshka-V2,pilot,M4_rulebased,0.6,0.7466666666666667,0.8533333333333334,0.8966666666666666,0.9333333333333333,0.810484126984127
Arabic-Triplet-Matryoshka-V2,pilot,M3_rule_expansion,0.6,0.78,0.88,0.9066666666666666,0.9333333333333333,0.833318783068783
Arabic-Triplet-Matryoshka-V2,wikipedia,msa_query,0.8,0.66,0.84,0.87,0.95,0.7599583333333334
Arabic-Triplet-Matryoshka-V2,wikipedia,darija_query,0.8,0.6,0.77,0.825,0.89,0.6988769841269842
Arabic-Triplet-Matryoshka-V2,wikipedia,M4_rulebased,0.8,0.55,0.79,0.825,0.895,0.6826825396825398
Arabic-Triplet-Matryoshka-V2,wikipedia,M3_rule_expansion,0.8,0.585,0.77,0.815,0.885,0.6902658730158729
Arabic-Triplet-Matryoshka-V2,pilot,msa_query,0.8,0.8966666666666666,0.97,0.98,0.99,0.9332592592592592
Arabic-Triplet-Matryoshka-V2,pilot,darija_query,0.8,0.7966666666666666,0.9166666666666666,0.94,0.9666666666666667,0.8617804232804234
Arabic-Triplet-Matryoshka-V2,pilot,M4_rulebased,0.8,0.7666666666666667,0.8833333333333333,0.92,0.9533333333333334,0.8349603174603175
Arabic-Triplet-Matryoshka-V2,pilot,M3_rule_expansion,0.8,0.8033333333333333,0.9166666666666666,0.9233333333333333,0.95,0.8614523809523811
Arabic-Triplet-Matryoshka-V2,wikipedia,msa_query,1.0,0.505,0.67,0.725,0.81,0.6025039682539682
Arabic-Triplet-Matryoshka-V2,wikipedia,darija_query,1.0,0.415,0.625,0.695,0.785,0.5340833333333334
Arabic-Triplet-Matryoshka-V2,wikipedia,M4_rulebased,1.0,0.425,0.62,0.68,0.785,0.5382797619047619
Arabic-Triplet-Matryoshka-V2,wikipedia,M3_rule_expansion,1.0,0.425,0.625,0.685,0.75,0.537234126984127
Arabic-Triplet-Matryoshka-V2,pilot,msa_query,1.0,0.8466666666666667,0.9166666666666666,0.9466666666666667,0.9633333333333334,0.8858280423280422
Arabic-Triplet-Matryoshka-V2,pilot,darija_query,1.0,0.7266666666666667,0.8633333333333333,0.8966666666666666,0.9233333333333333,0.7983452380952382
Arabic-Triplet-Matryoshka-V2,pilot,M4_rulebased,1.0,0.71,0.8433333333333334,0.8533333333333334,0.9033333333333333,0.776265873015873
Arabic-Triplet-Matryoshka-V2,pilot,M3_rule_expansion,1.0,0.7233333333333334,0.8733333333333333,0.8866666666666667,0.9166666666666666,0.7971931216931217
Arabert-all-nli-triplet-Matryoshka,wikipedia,msa_query,0.0,0.665,0.865,0.91,0.94,0.770484126984127
Arabert-all-nli-triplet-Matryoshka,wikipedia,darija_query,0.0,0.545,0.705,0.775,0.865,0.6456031746031746
Arabert-all-nli-triplet-Matryoshka,wikipedia,M4_rulebased,0.0,0.525,0.695,0.775,0.85,0.6287698412698413
Arabert-all-nli-triplet-Matryoshka,wikipedia,M3_rule_expansion,0.0,0.54,0.71,0.775,0.86,0.6422043650793651
Arabert-all-nli-triplet-Matryoshka,pilot,msa_query,0.0,0.8033333333333333,0.88,0.9033333333333333,0.9233333333333333,0.8482301587301587
Arabert-all-nli-triplet-Matryoshka,pilot,darija_query,0.0,0.5633333333333334,0.7266666666666667,0.7633333333333333,0.8033333333333333,0.6507460317460317
Arabert-all-nli-triplet-Matryoshka,pilot,M4_rulebased,0.0,0.5433333333333333,0.7,0.74,0.7933333333333333,0.6264272486772486
Arabert-all-nli-triplet-Matryoshka,pilot,M3_rule_expansion,0.0,0.5533333333333333,0.72,0.76,0.8033333333333333,0.6418902116402116
Arabert-all-nli-triplet-Matryoshka,wikipedia,msa_query,0.2,0.705,0.895,0.915,0.955,0.8026865079365081
Arabert-all-nli-triplet-Matryoshka,wikipedia,darija_query,0.2,0.56,0.735,0.815,0.88,0.6645535714285714
Arabert-all-nli-triplet-Matryoshka,wikipedia,M4_rulebased,0.2,0.555,0.71,0.8,0.865,0.6547936507936507
Arabert-all-nli-triplet-Matryoshka,wikipedia,M3_rule_expansion,0.2,0.555,0.73,0.815,0.88,0.6603035714285714
Arabert-all-nli-triplet-Matryoshka,pilot,msa_query,0.2,0.82,0.9033333333333333,0.92,0.93,0.8647301587301587
Arabert-all-nli-triplet-Matryoshka,pilot,darija_query,0.2,0.63,0.7866666666666666,0.8133333333333334,0.8466666666666667,0.71019708994709
Arabert-all-nli-triplet-Matryoshka,pilot,M4_rulebased,0.2,0.5966666666666667,0.76,0.81,0.8333333333333334,0.6814854497354497
Arabert-all-nli-triplet-Matryoshka,pilot,M3_rule_expansion,0.2,0.6066666666666667,0.77,0.8033333333333333,0.8333333333333334,0.6920224867724868
Arabert-all-nli-triplet-Matryoshka,wikipedia,msa_query,0.4,0.72,0.91,0.93,0.965,0.8160753968253968
Arabert-all-nli-triplet-Matryoshka,wikipedia,darija_query,0.4,0.56,0.775,0.84,0.895,0.6776230158730158
Arabert-all-nli-triplet-Matryoshka,wikipedia,M4_rulebased,0.4,0.555,0.785,0.84,0.89,0.677970238095238
Arabert-all-nli-triplet-Matryoshka,wikipedia,M3_rule_expansion,0.4,0.56,0.79,0.84,0.895,0.6796130952380952
Arabert-all-nli-triplet-Matryoshka,pilot,msa_query,0.4,0.8566666666666667,0.9166666666666666,0.93,0.94,0.8873095238095239
Arabert-all-nli-triplet-Matryoshka,pilot,darija_query,0.4,0.69,0.82,0.8366666666666667,0.88,0.7597447089947089
Arabert-all-nli-triplet-Matryoshka,pilot,M4_rulebased,0.4,0.6533333333333333,0.8033333333333333,0.8366666666666667,0.8633333333333333,0.7308955026455026
Arabert-all-nli-triplet-Matryoshka,pilot,M3_rule_expansion,0.4,0.6733333333333333,0.8133333333333334,0.8333333333333334,0.8666666666666667,0.7469417989417989
Arabert-all-nli-triplet-Matryoshka,wikipedia,msa_query,0.6,0.69,0.91,0.94,0.975,0.8040119047619046
Arabert-all-nli-triplet-Matryoshka,wikipedia,darija_query,0.6,0.57,0.805,0.85,0.895,0.693047619047619
Arabert-all-nli-triplet-Matryoshka,wikipedia,M4_rulebased,0.6,0.585,0.805,0.845,0.9,0.7022083333333333
Arabert-all-nli-triplet-Matryoshka,wikipedia,M3_rule_expansion,0.6,0.585,0.815,0.86,0.89,0.7032837301587301
Arabert-all-nli-triplet-Matryoshka,pilot,msa_query,0.6,0.88,0.95,0.9633333333333334,0.98,0.9156190476190477
Arabert-all-nli-triplet-Matryoshka,pilot,darija_query,0.6,0.74,0.87,0.9066666666666666,0.9333333333333333,0.8105317460317459
Arabert-all-nli-triplet-Matryoshka,pilot,M4_rulebased,0.6,0.7233333333333334,0.8433333333333334,0.8966666666666666,0.9233333333333333,0.7938875661375662
Arabert-all-nli-triplet-Matryoshka,pilot,M3_rule_expansion,0.6,0.72,0.8566666666666667,0.89,0.92,0.7921798941798941
Arabert-all-nli-triplet-Matryoshka,wikipedia,msa_query,0.8,0.625,0.86,0.89,0.945,0.7452123015873017
Arabert-all-nli-triplet-Matryoshka,wikipedia,darija_query,0.8,0.53,0.755,0.8,0.865,0.6531845238095237
Arabert-all-nli-triplet-Matryoshka,wikipedia,M4_rulebased,0.8,0.545,0.75,0.79,0.885,0.6614900793650793
Arabert-all-nli-triplet-Matryoshka,wikipedia,M3_rule_expansion,0.8,0.505,0.75,0.805,0.875,0.6415039682539683
Arabert-all-nli-triplet-Matryoshka,pilot,msa_query,0.8,0.9033333333333333,0.9766666666666667,0.98,0.98,0.9356666666666666
Arabert-all-nli-triplet-Matryoshka,pilot,darija_query,0.8,0.7933333333333333,0.91,0.92,0.9366666666666666,0.8494801587301587
Arabert-all-nli-triplet-Matryoshka,pilot,M4_rulebased,0.8,0.7866666666666666,0.88,0.92,0.9433333333333334,0.8413042328042327
Arabert-all-nli-triplet-Matryoshka,pilot,M3_rule_expansion,0.8,0.7733333333333333,0.86,0.8866666666666667,0.9233333333333333,0.8223558201058201
Arabert-all-nli-triplet-Matryoshka,wikipedia,msa_query,1.0,0.35,0.595,0.665,0.785,0.49135119047619047
Arabert-all-nli-triplet-Matryoshka,wikipedia,darija_query,1.0,0.325,0.485,0.575,0.65,0.4273095238095238
Arabert-all-nli-triplet-Matryoshka,wikipedia,M4_rulebased,1.0,0.325,0.525,0.595,0.665,0.4376607142857143
Arabert-all-nli-triplet-Matryoshka,wikipedia,M3_rule_expansion,1.0,0.295,0.515,0.565,0.645,0.41295436507936506
Arabert-all-nli-triplet-Matryoshka,pilot,msa_query,1.0,0.8433333333333334,0.94,0.9566666666666667,0.97,0.8934722222222221
Arabert-all-nli-triplet-Matryoshka,pilot,darija_query,1.0,0.7,0.82,0.8666666666666667,0.9,0.7659656084656085
Arabert-all-nli-triplet-Matryoshka,pilot,M4_rulebased,1.0,0.6866666666666666,0.8366666666666667,0.8533333333333334,0.8966666666666666,0.7608029100529101
Arabert-all-nli-triplet-Matryoshka,pilot,M3_rule_expansion,1.0,0.6666666666666666,0.79,0.82,0.8633333333333333,0.7314140211640212
multilingual-e5-base,wikipedia,msa_query,0.0,0.665,0.865,0.91,0.94,0.770484126984127
multilingual-e5-base,wikipedia,darija_query,0.0,0.545,0.705,0.775,0.865,0.6456031746031746
multilingual-e5-base,wikipedia,M4_rulebased,0.0,0.525,0.695,0.775,0.85,0.6287698412698413
multilingual-e5-base,wikipedia,M3_rule_expansion,0.0,0.54,0.71,0.775,0.86,0.6422043650793651
multilingual-e5-base,pilot,msa_query,0.0,0.8033333333333333,0.88,0.9033333333333333,0.9233333333333333,0.8482301587301587
multilingual-e5-base,pilot,darija_query,0.0,0.5633333333333334,0.7266666666666667,0.7633333333333333,0.8033333333333333,0.6507460317460317
multilingual-e5-base,pilot,M4_rulebased,0.0,0.5433333333333333,0.7,0.74,0.7933333333333333,0.6264272486772486
multilingual-e5-base,pilot,M3_rule_expansion,0.0,0.5533333333333333,0.72,0.76,0.8033333333333333,0.6418902116402116
multilingual-e5-base,wikipedia,msa_query,0.2,0.735,0.905,0.92,0.96,0.8176666666666667
multilingual-e5-base,wikipedia,darija_query,0.2,0.57,0.76,0.825,0.885,0.6751349206349206
multilingual-e5-base,wikipedia,M4_rulebased,0.2,0.565,0.755,0.83,0.885,0.6715376984126985
multilingual-e5-base,wikipedia,M3_rule_expansion,0.2,0.57,0.755,0.825,0.89,0.6778591269841269
multilingual-e5-base,pilot,msa_query,0.2,0.83,0.9166666666666666,0.92,0.9333333333333333,0.8718743386243386
multilingual-e5-base,pilot,darija_query,0.2,0.62,0.75,0.7933333333333333,0.83,0.6938492063492064
multilingual-e5-base,pilot,M4_rulebased,0.2,0.6066666666666667,0.7333333333333333,0.7866666666666666,0.82,0.680234126984127
multilingual-e5-base,pilot,M3_rule_expansion,0.2,0.6033333333333334,0.74,0.7866666666666666,0.82,0.6820079365079365
multilingual-e5-base,wikipedia,msa_query,0.4,0.75,0.92,0.935,0.975,0.8382063492063492
multilingual-e5-base,wikipedia,darija_query,0.4,0.59,0.805,0.855,0.925,0.7036488095238096
multilingual-e5-base,wikipedia,M4_rulebased,0.4,0.61,0.81,0.86,0.915,0.7180059523809522
multilingual-e5-base,wikipedia,M3_rule_expansion,0.4,0.6,0.805,0.86,0.925,0.7109345238095238
multilingual-e5-base,pilot,msa_query,0.4,0.86,0.93,0.9366666666666666,0.9433333333333334,0.8935039682539684
multilingual-e5-base,pilot,darija_query,0.4,0.67,0.7833333333333333,0.8133333333333334,0.85,0.734373015873016
multilingual-e5-base,pilot,M4_rulebased,0.4,0.6566666666666666,0.7766666666666666,0.8266666666666667,0.8533333333333334,0.7277685185185185
multilingual-e5-base,pilot,M3_rule_expansion,0.4,0.6633333333333333,0.7833333333333333,0.8133333333333334,0.8533333333333334,0.7306084656084656
multilingual-e5-base,wikipedia,msa_query,0.6,0.78,0.915,0.94,0.975,0.8559761904761904
multilingual-e5-base,wikipedia,darija_query,0.6,0.62,0.835,0.89,0.945,0.7417837301587302
multilingual-e5-base,wikipedia,M4_rulebased,0.6,0.655,0.86,0.905,0.95,0.7650337301587302
multilingual-e5-base,wikipedia,M3_rule_expansion,0.6,0.63,0.84,0.89,0.96,0.7465396825396826
multilingual-e5-base,pilot,msa_query,0.6,0.8933333333333333,0.9466666666666667,0.95,0.9733333333333334,0.9222711640211639
multilingual-e5-base,pilot,darija_query,0.6,0.71,0.8133333333333334,0.84,0.8733333333333333,0.7664656084656084
multilingual-e5-base,pilot,M4_rulebased,0.6,0.72,0.82,0.8433333333333334,0.88,0.7725555555555556
multilingual-e5-base,pilot,M3_rule_expansion,0.6,0.7266666666666667,0.81,0.8333333333333334,0.8733333333333333,0.77344708994709
multilingual-e5-base,wikipedia,msa_query,0.8,0.755,0.895,0.95,0.975,0.8360892857142858
multilingual-e5-base,wikipedia,darija_query,0.8,0.62,0.83,0.905,0.95,0.7401646825396824
multilingual-e5-base,wikipedia,M4_rulebased,0.8,0.68,0.85,0.915,0.945,0.7802261904761905
multilingual-e5-base,wikipedia,M3_rule_expansion,0.8,0.63,0.82,0.905,0.955,0.7434980158730159
multilingual-e5-base,pilot,msa_query,0.8,0.91,0.9733333333333334,0.98,0.9866666666666667,0.9408465608465607
multilingual-e5-base,pilot,darija_query,0.8,0.7233333333333334,0.83,0.86,0.9,0.784271164021164
multilingual-e5-base,pilot,M4_rulebased,0.8,0.7466666666666667,0.8566666666666667,0.88,0.9,0.8035542328042328
multilingual-e5-base,pilot,M3_rule_expansion,0.8,0.73,0.83,0.86,0.8933333333333333,0.787734126984127
multilingual-e5-base,wikipedia,msa_query,1.0,0.67,0.805,0.85,0.93,0.7502182539682539
multilingual-e5-base,wikipedia,darija_query,1.0,0.555,0.745,0.79,0.84,0.6572281746031746
multilingual-e5-base,wikipedia,M4_rulebased,1.0,0.585,0.775,0.825,0.87,0.6879722222222222
multilingual-e5-base,wikipedia,M3_rule_expansion,1.0,0.575,0.725,0.775,0.83,0.6619702380952381
multilingual-e5-base,pilot,msa_query,1.0,0.9,0.96,0.9766666666666667,0.9833333333333333,0.9325873015873014
multilingual-e5-base,pilot,darija_query,1.0,0.6433333333333333,0.7533333333333333,0.7866666666666666,0.8133333333333334,0.7035039682539682
multilingual-e5-base,pilot,M4_rulebased,1.0,0.6966666666666667,0.7966666666666666,0.8233333333333334,0.88,0.7576825396825396
multilingual-e5-base,pilot,M3_rule_expansion,1.0,0.6333333333333333,0.75,0.79,0.8133333333333334,0.696813492063492
