qid,condition,gold_in_context,answer,faithful,correct,refused
w074,C1_msa_base,1,تمتاز الجماعة في مدينة جرادة بأنها مؤلفة من منتخبين مختارين من قبل رؤساء العائلات حسب الانتماء الإثني لكل مجموعة قبيلة.,1,1,0
w106,C1_msa_base,1,البنك المخزني المغربي أُنشئ في سنة 1907 في طنجة شمال المغرب.,1,1,0
w096,C1_msa_base,1,المصادقة على الزيادة الأخيرة في الأجر الفلاحي تمت بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,1,1,0
w162,C1_msa_base,1,45,1,1,0
w157,C1_msa_base,1,المستشفى، المستوصف الصحي، دار الولادة,1,1,0
w136,C1_msa_base,1,67 %,1,1,0
w178,C1_msa_base,1,تم تأسيس مركز المغرب العربي للدراسات الاستراتيجية في عام 1994.,1,1,0
w180,C1_msa_base,1,تتمركز معظم وحدات صناعة التجميد في جنوب المغرب بنسبة 72% بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0
w166,C1_msa_base,1,أسكيا قام بتنظيم الإدارة وجَهَز الجيش وضم أراض جديدة إلى سلطة البلاد، مما أدى إلى اتساع مملكة الصُّنغاي في عهده.,1,1,0
w047,C1_msa_base,1,تبلغ المساحة المسقية حاليا 1050000 هكتار.,1,1,0
w055,C1_msa_base,1,المعلومة غير متوفرة في النصوص,1,1,1
w119,C1_msa_base,1,مساحة القصبة المخزنية تبلغ 6704 م² وعدد أبراجها 5.,1,1,0
w149,C1_msa_base,1,سبعة سنوات,1,1,0
w156,C1_msa_base,0,المعلومة غير متوفرة في النصوص,0,0,1
w073,C1_msa_base,1,يوليو – غشت 1947,1,1,0
w052,C1_msa_base,1,19 مايو 1881م,1,1,0
w100,C1_msa_base,1,167 مقعدا,1,1,0
w099,C1_msa_base,1,باب بوجلود يعد المدخل الرئيسي لفاس البالي.,1,1,0
w135,C1_msa_base,1,من 17% إلى 19%.,1,1,0
w179,C1_msa_base,1,183,1,1,0
w121,C1_msa_base,1,أوعبيد الله كانت تعرف بقصبة المرينيين في العصر المريني.,1,1,0
w170,C1_msa_base,1,تم إقصاء الإدريسيين نهائيا في عام 985.,1,1,0
w139,C1_msa_base,1,20 ألف بيزيتا,1,1,0
w165,C1_msa_base,1,محمد توري,1,1,0
w120,C1_msa_base,1,تنسب إلى القائد الحاحي محمد أغناج.,1,1,0
w158,C1_msa_base,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة بين عامي 1992 و2004.,1,1,0
w181,C1_msa_base,1,القدرة الإنتاجية اليومية لصناعة التجميد تصل إلى حوالي 8300 طن.,1,1,0
w075,C1_msa_base,1,تنتشر سلالة الأبقار والماس زعير في منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,0
w153,C1_msa_base,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0
w076,C1_msa_base,1,سنة 1981,1,1,0
w097,C1_msa_base,1,توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات.,1,1,0
w032,C1_msa_base,1,المعلومة غير متوفرة في النصوص,1,1,1
w138,C1_msa_base,1,مصادر الدخل التي اعتمدتها جمهورية الريف هي: الضرائب، الزكاة، الغرامات، التبرعات، وفداء الأسرى.,1,1,0
w012,C1_msa_base,1,منذ فاتح أبريل 1998.,1,1,0
w098,C1_msa_base,1,المدرسة البوعنانية بُنيت ما بين عامي 1350م و1355م.,1,1,0
w182,C1_msa_base,1,الاتحاد الأوروبي,1,1,0
w169,C1_msa_base,1,"2,000",1,1,0
w072,C1_msa_base,1,بين 1614 و1681,1,1,0
w108,C1_msa_base,0,السبب الرئيسي لتنظيم مؤتمر الجزيرة الخضراء سنة 1906 هو تحديد ما يجب القيام به فيما يتعلق بالمغرب وإيجاد حل للأزمة المغربية الأولى بين فرنسا وألمانيا.,1,1,0
w051,C1_msa_base,1,ثمانية وعشرين سنة,1,1,0
w155,C1_msa_base,1,في سياق تدابير الإنعاش الاقتصادي المعتمدة في أعقاب جائحة كوفيد-19.,1,1,0
w130,C1_msa_base,1,السلاسل الجبلية المذكورة المنتصبة من جهتي الشمال والغرب.,1,1,0
w056,C1_msa_base,1,يعتقد أن النقوش الصخرية بالسمارة تعود إلى 4000-ق م 8000-ق م.,1,1,0
w140,C1_msa_base,1,سياسة الحكومة الريفية بخصوص الأراضي الزراعية كانت سحب الأراضي من من يعجز أو يتهاون في زرعها وذلك للمحافظة على الإنتاج.,1,1,0
w189,C1_msa_base,1,"فازت مريم بوعود بجائزة ""قارئ العام للعالم العربي"" في مسابقة أقرأ.",1,1,0
w036,C1_msa_base,1,40% حتى 60% حسب الحالة المناخية,1,1,0
w071,C1_msa_base,1,1500 جندي,1,1,0
w164,C1_msa_base,1,عاد إلى الدار البيضاء لمواساة أسر الضحايا، ثم توجه إلى طنجة لإلقاء الخطاب التاريخي.,1,1,0
w188,C2_darija_base,1,ساعتين و11 دقيقة و34 ثانية,1,1,0
w045,C2_darija_base,1,لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا.,1,1,0
w137,C2_darija_base,1,رسوم على لي غاديين على رجليهم في الناضور كانت 100 درهم.,1,1,0
w171,C2_darija_base,1,-Smithiya الحي لي استقرو فيه التجار لي جاو من القيروان.,1,0,0
w077,C2_darija_base,1,سلالة مكناس هي السلالة المخصصة لإنتاج الحليب بلا منازع.,1,1,0
w159,C2_darija_base,0,المعلومة غير متوفرة في النصوص,0,0,1
w131,C2_darija_base,0,المعلومة غير متوفرة في النصوص,0,0,1
w031,C2_darija_base,1,القطاع الخدمات شارك بنسبة 56.5% فـالناتج المحلي الإجمالي فـ2017.,1,1,0
w160,C2_darija_base,1,3312 منشورًا,1,1,0
w163,C2_darija_base,1,5 ديسمبر 1952,1,1,0
w048,C2_darija_base,1,تساهم الزراعة المسقية في 75% من الصادرات الفلاحية.,1,1,0
w195,C2_darija_base,1,تتولى الهيئة المغربية لسوق الرساميل حماية المدخرين والمستثمرين؛ مراقبة سير أسواق الرساميل؛ ضمان شفافية العمليات المالية؛ تنظيم المشاركين في السوق والأدوات المالية؛ تعزيز الثقافة المالية.,1,1,0
w013,C2_darija_base,1,"Until April 1, 1998.",0,0,0
w037,C2_darija_base,0,المعلومة غير متوفرة في النصوص,0,0,1
w154,C2_darija_base,1,المقر الرئيسي لصندوق محمد السادس للاستثمار في مدينة الرباط.,1,1,0
w070,C2_darija_base,0,سنة 1614,0,0,0
w196,C2_darija_base,1,الرئيس يعينه الملك محمد السادس.,1,0,0
w033,C2_darija_base,1,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0
w161,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1
w107,C2_darija_base,1,البنك المخزني بقى يدير دور البنك المركزي حتى عام 1959.,1,1,0
w074,C2_darija_base,0,المعلومة غير متوفرة في النصوص,0,0,1
w106,C2_darija_base,1,تأسس البنك المخزني المغربي في سنة 1906 في طنجة.,1,0,0
w096,C2_darija_base,1,مرسوم رقم 2.24.1122 في 26 ديسمبر 2024,1,1,0
w162,C2_darija_base,1,المعلومة غير متوفرة في النصوص,0,0,1
w157,C2_darija_base,1,مستشفى ومستوصف صحي ودار للولادة.,1,1,0
w136,C2_darija_base,1,ارتفاع أسعار المواد الاستهلاكية الرئيسية في 1983، وبلغ ارتفاع أسعار الزبدة 67 %.,1,1,0
w178,C2_darija_base,1,تم تأسيس مركز المغرب العربي للدراسات الاستراتيجية في عام 1994.,1,1,0
w180,C2_darija_base,1,تتمركز معظم وحدات صناعة التجميد في جنوب المغرب بنسبة 72% بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0
w166,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1
w047,C2_darija_base,1,المساحة المسقية في المغرب وصلت إلى 1050000 هكتار.,1,1,0
w055,C2_darija_base,1,المواقع ديال النقوش الصخرية كاينة فإقليم السمارة كاينش فالموقع الأول والموقع الرابع.,1,1,0
w119,C2_darija_base,1,مساحة القصبة المخزنية في تزنيت تبلغ 6704م²، وعدد أبراجها 5.,1,1,0
w149,C2_darija_base,1,سبعة سنوات,1,1,0
w156,C2_darija_base,1,الأستشفى يتوفر عليه طبيب واحد.,1,1,0
w073,C2_darija_base,1,المعلومة غير متوفرة في النصوص,0,0,1
w052,C2_darija_base,1,19 ماي 1881م,1,1,0
w100,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1
w099,C2_darija_base,1,باب الجديد هو المدخل الرئيسي ديال فاس البالي.,0,0,0
w135,C2_darija_base,1,من 17% إلى 19%.,1,1,0
w179,C2_darija_base,1,183,1,1,0
w121,C2_darija_base,1,نعم، كانت معروفة أوعبيد الله في العصر المريني.,1,1,0
w170,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1
w139,C2_darija_base,1,دفعوا 20 ألف بيزيتا سنويا.,1,1,0
w165,C2_darija_base,1,محمد توري,1,1,0
w120,C2_darija_base,1,تنسب إلى القائد الحاحي محمد أغناج.,1,1,0
w158,C2_darija_base,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة ما بين العامين 1992 و2004.,1,1,0
w181,C2_darija_base,1,القدرة الإنتاجية للنهار في صناعة التجميد هي حوالي 8300 طن.,1,1,0
w075,C2_darija_base,1,تنتشر السلالة ديال البقر والماس زعير في كل من منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,0
w153,C2_darija_base,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0
w076,C2_darija_base,1,1981,1,1,0
w097,C2_darija_base,1,نص [1],1,1,0
w032,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1
w138,C2_darija_base,1,مصادر الدخل التي اعتمدت عليها جمهورية الريف هي: مداخيل الزكاة، الغرامات، تبرعات السكان والقبائل، وفداء الأسرى.,1,1,0
w012,C2_darija_base,1,أول أبريل 1998,1,1,0
w098,C2_darija_base,1,المدرسة البوعنانية تُبنى ما بين عامي 1350م و1355م في فاس.,1,1,0
w182,C2_darija_base,1,الاتحاد الأوروبي,1,1,0
w169,C2_darija_base,1,التجار العرب استقبلتهم السلطانة ففاس فـ825 فـ2٬000 تاجر من القيروان في تونس.,1,1,0
w072,C2_darija_base,1,1614 و1681,1,1,0
w108,C2_darija_base,0,الغرض الرئيسي من تنظيم مؤتمر الجزيرة الخضراء في 1906 كان حل الأزمة المغربية الأولى بين فرنسا وألمانيا.,1,1,0
w051,C2_darija_base,1,ثمانية وعشرين سنة,1,1,0
w155,C2_darija_base,1,أُعلن عن إحداث صندوق محمد السادس للاستثمار في يوليو 2020.,1,1,0
w130,C2_darija_base,1,منتصبتي جهتي الشمال والغرب، وهي تقف كحاجز أمام تسرب الكتل الهوائية الرطبة نحو الداخل.,1,1,0
w056,C2_darija_base,1,ترجع النقوش الصخرية في السمارة إلى فترات ما قبل التاريخ، بين 4000-ق-م و8000-ق-م.,1,1,0
w140,C2_darija_base,1,سياسة سحب الأراضي الزراعية من من يعجز أو يتهاون في زراعتها.,1,1,0
w189,C2_darija_base,1,"جائزة ""قارئ العام للعالم العربي""",1,1,0
w036,C2_darija_base,0,المعلومة غير متوفرة في النصوص,0,1,1
w071,C2_darija_base,1,1500 جندي,1,1,0
w164,C2_darija_base,1,الدار البيضاء,1,1,0
w188,C3_darija_finetuned,1,ساعتين و11 دقيقة و34 ثانية,1,1,0
w045,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,1,1
w137,C3_darija_finetuned,1,رسوم الناضور على لي غاديين على رجليهم كانت 100 درهم.,1,1,0
w171,C3_darija_finetuned,1,-Smith,1,1,0
w077,C3_darija_finetuned,1,سلالة مكناس,1,1,0
w159,C3_darija_finetuned,0,المعلومة غير متوفرة في النصوص,0,0,1
w131,C3_darija_finetuned,0,المعلومة غير متوفرة في النصوص,0,0,1
w031,C3_darija_finetuned,1,56.5%,1,1,0
w160,C3_darija_finetuned,1,3312 منشورًا,1,1,0
w163,C3_darija_finetuned,1,5 ديسمبر 1952,1,1,0
w048,C3_darija_finetuned,1,تساهم الزراعة المسقية في 75% من الصادرات الفلاحية.,1,1,0
w195,C3_darija_finetuned,1,الهيئة المغربية لسوق الرساميل تتولى مهام حماية المدخرين والمستثمرين، مراقبة سير أسواق الرساميل، ضمان شفافية العمليات المالية، تنظيم المشاركين في السوق والأدوات المالية، وتعزيز الثقافة المالية.,1,1,0
w013,C3_darija_finetuned,1,"Until April 1, 1998.",0,0,0
w037,C3_darija_finetuned,0,المعلومة غير متوفرة في النصوص,0,0,1
w154,C3_darija_finetuned,1,المقر الرئيسي لصندوق محمد السادس للاستثمار في مدينة الرباط.,1,1,0
w070,C3_darija_finetuned,0,سنة 1614,0,0,0
w196,C3_darija_finetuned,1,رئيس الهيئة المغربية لسوق الرساميل يعينه الملك محمد السادس.,1,1,0
w033,C3_darija_finetuned,1,احتل المغرب المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0
w161,C3_darija_finetuned,0,المعلومة غير متوفرة في النصوص,0,0,1
w107,C3_darija_finetuned,1,البنك المخزني بقى يديري دور البنك المركزي حتى عام 1959.,1,1,0
w074,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,1,1
w106,C3_darija_finetuned,1,تأسس البنك المخزني المغربي في عام 1907 في طنجة شمال المغرب.,1,1,0
w096,C3_darija_finetuned,1,مرسوم رقم 2.24.1122 في 26 ديسمبر 2024,1,1,0
w162,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,0,1
w157,C3_darija_finetuned,1,مستشفى ومستوصف صحي ودار للولادة.,1,1,0
w136,C3_darija_finetuned,1,67 %,1,1,0
w178,C3_darija_finetuned,1,تم تأسيس مركز المغرب العربي للدراسات الاستراتيجية في عام 1994.,1,1,0
w180,C3_darija_finetuned,1,تتمركز معظم وحدات صناعة التجميد في جنوب المغرب بنسبة 72% بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0
w166,C3_darija_finetuned,1,الإجابة: أسكيا محمد فالفترة ديال الحكم ديالو.,1,1,0
w047,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,1,1
w055,C3_darija_finetuned,1,المواقع ديال النقوش الصخرية كاينة فإقليم السمارة كاينش فنصي واحد، لكن من خلال تجميع المعلومات من النصوص، يمكن القول إن المواقع ديال النقوش الصخرية كاينة فإقليم السمارة، خصوصا في منطقة السمارة نفسها وربما في مناطق مجاورة لها كفجيج، بالإضافة لوجودها في موقع العصلي بوكراش على بعد 40 كلم جنوب غرب السمارة.,1,1,0
w119,C3_darija_finetuned,1,مساحة القصبة المخزنية في تزنيت تقدر ب 16900 م²، وعدد أبراجها 9.,0,0,0
w149,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,1,1
w156,C3_darija_finetuned,0,المعلومة غير متوفرة في النصوص,0,0,1
w073,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,0,0,1
w052,C3_darija_finetuned,1,19 ماي 1881م,1,1,0
w100,C3_darija_finetuned,1,تتسع الطائرة بوينغ 767-300 لـ 167 مقعدا.,1,1,0
w099,C3_darija_finetuned,1,باب الجديد هو المدخل الرئيسي ديال فاس البالي.,0,0,0
w135,C3_darija_finetuned,1,من 17% إلى 19%.,1,1,0
w179,C3_darija_finetuned,1,183,1,1,0
w121,C3_darija_finetuned,1,نعم، كانت معروفة أوعبيد الله في العصر المريني.,1,1,0
w170,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,0,0,1
w139,C3_darija_finetuned,1,20 ألف بيزيتا سنويا,1,1,0
w165,C3_darija_finetuned,1,محمد توري,1,1,0
w120,C3_darija_finetuned,1,تنسب إلى القائد الحاحي محمد أغناج.,1,1,0
w158,C3_darija_finetuned,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة ما بين العامين 1992 و2004.,1,1,0
w181,C3_darija_finetuned,1,قدرة إنتاجية تصل إلى حوالي 8300 طن في اليوم الواحد.,1,1,0
w075,C3_darija_finetuned,1,تنتشر السلالة ديال البقر والماس زعير في منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,0
w153,C3_darija_finetuned,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0
w076,C3_darija_finetuned,1,1981,1,1,0
w097,C3_darija_finetuned,1,توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات.,1,1,0
w032,C3_darija_finetuned,1,بلغ الناتج المحلي الإجمالي للفرد 3.750 دولار أمريكي حسب تقديرات صندوق النقد الدولي لسنة 2023.,1,1,0
w138,C3_darija_finetuned,1,مصادر الدخل التي اعتمدت عليها جمهورية الريف هي: الضرائب، الزكاة، الغرامات، التبرعات، وفداء الأسرى.,1,1,0
w012,C3_darija_finetuned,1,منذ فاتح أبريل 1998.,1,1,0
w098,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,1,1
w182,C3_darija_finetuned,1,الاتحاد الأوروبي,1,1,0
w169,C3_darija_finetuned,1,المعلومة غير متوفرة في النصوص,1,1,1
w072,C3_darija_finetuned,1,1614 و1681,1,1,0
w108,C3_darija_finetuned,0,الغرض الرئيسي من مؤتمر الجزيرة الخضراء في 1906 كان تحديد ما يجب القيام به فيما يتعلق بالمغرب وإيجاد حل للأزمة المغربية الأولى بين فرنسا وألمانيا.,1,1,0
w051,C3_darija_finetuned,1,ثمانية وعشرين سنة,1,1,0
w155,C3_darija_finetuned,1,أُعلن عن إحداث صندوق محمد السادس للاستثمار في يوليو 2020.,1,1,0
w130,C3_darija_finetuned,1,السلاسل الجبلية المذكورة المنتصبة من جهتي الشمال والغرب.,1,1,0
w056,C3_darija_finetuned,1,ترجع النقوش الصخرية إلى فترات ما قبل التاريخ، بين 4000-ق-م و8000-ق-م.,1,1,0
w140,C3_darija_finetuned,1,سياسة سحب الأراضي الزراعية من من يعجز أو يتهاون في زراعتها.,1,1,0
w189,C3_darija_finetuned,1,"جائزة ""قارئ العام للعالم العربي""",1,1,0
w036,C3_darija_finetuned,0,المغرب يستورد 40% حتى 60% من حاجياته من الحبوب حسب الحالة المناخية.,1,1,0
w071,C3_darija_finetuned,1,1500 جندي,1,1,0
w164,C3_darija_finetuned,1,الدار البيضاء,1,1,0
w188,C4_oracle,1,ساعتين و11 دقيقة و34 ثانية,1,1,0
w045,C4_oracle,1,لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا.,1,1,0
w137,C4_oracle,1,100 درهم,1,1,0
w171,C4_oracle,1,-Smithiya (السمية),0,0,0
w077,C4_oracle,1,سلالة مكناس,1,1,0
w159,C4_oracle,1,المشكل الأساسي للماء في قطاع الصناعة هو العقلانية في التدبير ومعالجة التلوث.,1,1,0
w131,C4_oracle,1,المعلومة غير متوفرة في النصوص,1,1,1
w031,C4_oracle,1,"56,5%",1,1,0
w160,C4_oracle,1,3312 منشورًا,1,1,0
w163,C4_oracle,1,1952,1,0,0
w048,C4_oracle,1,تساهم الزراعة المسقية في 75% من الصادرات الفلاحية.,1,1,0
w195,C4_oracle,1,حماية المدخرين والمستثمرين؛ مراقبة سير أسواق الرساميل؛ ضمان شفافية العمليات المالية؛ تنظيم المشاركين في السوق والأدوات المالية؛ تعزيز الثقافة المالية.,1,1,0
w013,C4_oracle,1,Until 31 December 2011.,1,1,0
w037,C4_oracle,1,تشغل الزراعة حوالي نصف عدد السكان في المغرب.,1,1,0
w154,C4_oracle,1,المقر الرئيسي لصندوق محمد السادس للاستثمار في مدينة الرباط.,1,1,0
w070,C4_oracle,1,المعلومة غير متوفرة في النصوص,1,1,1
w196,C4_oracle,1,الملك محمد السادس.,1,0,0
w033,C4_oracle,1,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0
w161,C4_oracle,1,آلة الكمبري تُصنع من الخشب وجِلد الإبل أو جِلد الماعز.,1,1,0
w107,C4_oracle,1,بعد إستقلال المغرب سنة 1955، قام بدور البنك المركزي للدولة المغربية إلى غاية إيقاف العمل به سنة 1959.,1,1,0
w074,C4_oracle,1,المعلومة غير متوفرة في النصوص,1,1,1
w106,C4_oracle,1,البنك المخزني المغربي تأسس في عام 1907 في طنجة شمال المغرب.,1,1,0
w096,C4_oracle,1,مرسوم رقم 2.24.1122 في 26 ديسمبر 2024,1,1,0
w162,C4_oracle,1,45 منشورًا,1,1,0
w157,C4_oracle,1,المدينة تتوفر على مستشفى وأستوصف صحي ودار للولادة.,1,1,0
w136,C4_oracle,1,بلغ ارتفاع أسعار المواد الاستهلاكية الرئيسية في 1983، 67 % بالنسبة للزبدة.,1,1,0
w178,C4_oracle,1,في عام 1994,1,1,0
w180,C4_oracle,1,تتمركز معظم وحدات صناعة التجميد في جنوب المغرب بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0
w166,C4_oracle,1,أسكيا دار في الفترة (1493-1528).,1,0,0
w047,C4_oracle,1,المعلومة غير متوفرة في النصوص,1,1,1
w055,C4_oracle,1,المواقع ديال النقوش الصخرية كاينة فإقليم السمارة بأربعة وثلاثون موقعا.,1,1,0
w119,C4_oracle,1,مساحة القصبة المخزنية فتزنيت هي 6704م² وأبراجها هي 5.,1,1,0
w149,C4_oracle,1,المقاومة ديال تاكفاريناس دامت سبع سنوات.,1,1,0
w156,C4_oracle,1,المستشفى ديال جمعة سحيم كاين فيه طبيب واحد.,1,1,0
w073,C4_oracle,1,يوليو – غشت 1947,1,1,0
w052,C4_oracle,1,19 مايو 1881م,1,1,0
w100,C4_oracle,1,تتسع الطائرة بوينغ 767-300 لـ 167 مقعدا.,1,1,0
w099,C4_oracle,1,باب بوجلود هو المدخل الرئيسي ديال فاس البالي.,1,1,0
w135,C4_oracle,1,من 17% إلى 19%.,1,1,0
w179,C4_oracle,1,72% من الوحدات كاينة فجنوب المغرب.,0,0,0
w121,C4_oracle,1,نعم، كانت معروفة أوعبيد الله في العصر المريني.,1,1,0
w170,C4_oracle,1,تم إقصاؤهم نهائيًا في عام 985 بعد فشل استعادة آخر أمير منفي، الحسن بن كنون.,1,1,0
w139,C4_oracle,1,pagar 20 ألف بيزيتا سنويا,1,1,0
w165,C4_oracle,1,محمد توري,1,1,0
w120,C4_oracle,1,تنسب إلى القائد الحاحي محمد أغناج.,1,1,0
w158,C4_oracle,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة ما بين عامي 1992 و2004.,1,1,0
w181,C4_oracle,1,القدرة الإنتاجية للصناعة في اليوم الواحد هي حوالي 8300 طن.,1,1,0
w075,C4_oracle,1,تنتشر السلالة ديال البقر والماس زعير في كل من منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,0
w153,C4_oracle,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0
w076,C4_oracle,1,1981,1,1,0
w097,C4_oracle,1,اتفاق أبريل 2011 نص على توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات.,1,1,0
w032,C4_oracle,1,بلغ الناتج المحلي الإجمالي للفرد قيمة 3.750 دولار أمريكي حسب تقديرات صندوق النقد الدولي لسنة 2023.,1,1,0
w138,C4_oracle,1,مصادر الدخل التي اعتمدت عليها جمهورية الريف هي: مداخيل الزكاة، الغرامات، التبرعات من السكان والقبائل، فداء الأسرى.,1,1,0
w012,C4_oracle,1,أمتى فاتح أبريل 1998,1,1,0
w098,C4_oracle,1,المدرسة البوعنانية تُبنَيت بين عامي 1350م و1355م في فاس.,1,1,0
w182,C4_oracle,1,الاتحاد الأوروبي,1,1,0
w169,C4_oracle,1,التجار العرب استقبلوا السلطان في فاس في عام 825 وتم إقامتهم مؤقتًا في الجهة الغربية من شعيب (واد) في الحي المعروف باسم حي القيروانيين.,0,0,0
w072,C4_oracle,1,1614 و1681,1,1,0
w108,C4_oracle,1,الارتفاع المضطرد لمديونيتها الخارجية لدى القوى الأوروبية.,1,1,0
w051,C4_oracle,1,ثمانية وعشرين سنة,1,1,0
w155,C4_oracle,1,أُعلن عن صندوق محمد السادس للاستثمار في يوليو 2020.,1,1,0
w130,C4_oracle,1,السلاسل الجبلية المذكورة المنتصبة من جهتي الشمال والغرب.,1,1,0
w056,C4_oracle,1,تعود النقوش الصخرية إلى 4000-ق-م 8000-ق.م,1,1,0
w140,C4_oracle,1,سياسة سحب الأراضي الزراعية من من يعجز أو يتهاون في زرعها.,1,1,0
w189,C4_oracle,1,جائزة “قارئ العام للعالم العربي”,1,1,0
w036,C4_oracle,1,المغرب يستورد 40% حتى 60% من حاجياته من الحبوب حسب الحالة المناخية.,1,1,0
w071,C4_oracle,1,المعلومة غير متوفرة في النصوص,1,1,1
w164,C4_oracle,1,طنجة,1,0,0
