qid,condition,gold_in_context,answer,faithful,correct,judge_parsed,judge_raw,refused
w104,C1_msa_e5,1,النموذج الاقتصادي المغربي بين 1956 و1982 ميزه النزعة اللبرالية مع التوجيه الاقتصادي (سياسة المخططات الخماسية)، إضافة إلى سياسة تجارية حمائية، وتدخل وازن للسلطات الحكومية في السياسات الاقتصادية والاجتماعية.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w146,C1_msa_e5,1,خاض التهامي الكلاوي أول معركة حربية في سن 15 سنة.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w044,C1_msa_e5,1,نسبة الفئة العمرية دون 15 سنة بإقليم خنيفرة هي 24.5%.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w001,C1_msa_e5,1,168000 سيارة جديدة بيعت في المغرب سنة 2017.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w162,C1_msa_e5,1,المنشورات بالأمازيغية في الموسم 2018-2019 كانت 45 منشورًا.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w193,C1_msa_e5,1,تزنيت تلقب بعاصمة الفضة لأنها تشتهر بصناعة وإنتاج المجوهرات الفضية.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w017,C1_msa_e5,1,88.8%,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w081,C1_msa_e5,1,المعرض الدولي للفلاحة بالمغرب يدوم لمدة 6 أيام.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w103,C1_msa_e5,1,أبرز أودية عين بني مطهر هي واد الشارف واد تبودة وادي مسخسخة وادي وزين.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w039,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1,"مدعوم: لا  
مطابق: لا",1
w157,C1_msa_e5,1,المستشفى وأخصائي صحة مدني واحد ومستوصف صحي ودار للولادة.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w177,C1_msa_e5,1,الموارد الطبيعية والترفيهية، من بينها المنتزه الوطني لإفران، والبحيرات والمصادر والشلالات والمجالات الغابوية، فضلًا عن محطة ميشليفن للتزلج.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w136,C1_msa_e5,1,67%,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w079,C1_msa_e5,1,مدينة الحاجب تبعد 32 كلم عن مكناس.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w116,C1_msa_e5,1,في 23 أكتوبر 1458م، استولى الجيش البرتغالي بقيادة ألفونس الخامس على القصر الصغير.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w020,C1_msa_e5,1,الواردات المغربية تتكون أساسا من المواد الطاقية ومواد التجهيز والمواد الاستهلاكية.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w015,C1_msa_e5,1,"معدل التمدن في المغرب تضاعف من 29% في 1960 إلى 62,8% في 2024.",1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w178,C1_msa_e5,1,تم تأسيس مركز المغرب العربي للدراسات الاستراتيجية في عام 1994.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w147,C1_msa_e5,1,تم تدشين مستشفى القرب بأحفير يوم 25 يوليوز 2024.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w180,C1_msa_e5,1,معظم وحدات صناعة التجميد تتمركز في جنوب المغرب، وذلك بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w066,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1,"مدعوم: لا  
مطابق: لا",1
w085,C1_msa_e5,1,مشكلة النظافة، قلة الموارد المائية، نقص الخدمات اللوجستيكية، نقص قنوات الصرف الصحي، ضعف قطاع الصحة، غياب الأساتذة، عدم وجود مدارس إعدادية أو ثانوية، نقص الأدوية، عدم وجود مرافق تعليمية، غياب المرافق المهمشة، نقص الأنشطة التعليمية، نقص المدارس الثانوية، نقص المدارس الإعدادية، نقص المدارس الثانوية، نقص المدارس الإعداد,0,0,1,"مدعوم: لا  
مطابق: لا",0
w166,C1_msa_e5,1,أسكيا وضع الإصلاحات السياسية والاقتصادية في جميع أنحاء الإمبراطورية خلال فترة حكمه.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w047,C1_msa_e5,1,1050000 هكتار,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w105,C1_msa_e5,1,أولى الأوراش الاقتصادية لأولى الحكومات المغربية بعد الاستقلال كانت إرساء الاستقلالية الاقتصادية، وذلك عبر إصدار العملة الوطنية، وخلق مؤسسات الوصاية والتوجيه الاقتصادي، وإرساء نظام بنكي عصري.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w080,C1_msa_e5,1,"مغارة ""إيفري عمرو موسى"" هي أشهر مغارة بمدينة الحاجب.",0,0,1,"مدعوم: لا  
مطابق: لا",0
w055,C1_msa_e5,1,أكثر من أربعة وثلاثين موقعًا للنقش الصخري في إقليم السمارة.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w197,C1_msa_e5,1,سبعة سلاطين من أبناء المولى إسماعيل تولوا الحكم بين 1727 و1757.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w086,C1_msa_e5,1,تم افتتاح المنطقة الحرة الأطلسية في سنة 2012.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w119,C1_msa_e5,1,تبلغ المساحة الإجمالية للقصبة المخزنية بتزنيت 6704م² وعدد أبراجها 5.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w110,C1_msa_e5,1,محمد بن عثمان المكناسي زار إسبانيا لعقد معاهدة لتجديد الصلح بين الدولتين وإطلاق صراح الأسرى الجزائريين بإسبانيا.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w134,C1_msa_e5,1,سجلماسة بنيت سنة 140 هـ/757م من قبل عيسى بن يزيد الأسود.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w143,C1_msa_e5,1,صالح بن عبد الحليم الأيلاني ينتمي إلى قبيلة الأيلاني.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w034,C1_msa_e5,1,2700 مليون كيلو瓦特,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w019,C1_msa_e5,1,15% من مجموع الصادرات عام 2003.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w141,C1_msa_e5,1,عزيز أخنوش كان رئيس الحكومة المغربية سنة 2024.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w124,C1_msa_e5,1,عاصمة الشاوية,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w176,C1_msa_e5,0,رسالة الجامعة تحتضنها مدينة إفران مدفوعة بقيم التضامن والتسامح البشري.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w064,C1_msa_e5,1,صناعة الفخار، الدباغة، صياغة الحلي.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w084,C1_msa_e5,1,اقتصاد مدينة مرزوقة يعتمد بشكل أساسي على السياحة.,0,1,1,"مدعوم: لا  
مطابق: نعم",0
w149,C1_msa_e5,1,مقاومة تاكفاريناس دامت سبع سنوات.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w101,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1,"مدعوم: لا  
مطابق: لا",1
w156,C1_msa_e5,0,10 أطباء,0,0,1,"مدعوم: لا  
مطابق: لا",0
w073,C1_msa_e5,1,في يوليو – غشت 1947 تم خلق مركز المراقب المدني بجرادة.,0,1,1,"مدعوم: لا  
مطابق: نعم",0
w028,C1_msa_e5,1,الأقطاب التنافسية الثلاثة التي أحدثها مخطط أليوتيس في المغرب هي طنجة وأكادير والعيون.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w185,C1_msa_e5,1,شرشال,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w113,C1_msa_e5,1,بعض سكان بلدة البهاليل المجاورة لمدينة صفرو ما زال يستقرون في الكهوف.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w052,C1_msa_e5,1,معركة تازينة وقعت في 19 مايو 1881م.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w175,C1_msa_e5,1,2 مارس 1956,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w005,C1_msa_e5,1,"بلغت انبعاثات ثاني أكسيد الكربون 1,6 طن للفرد الواحد في عام 2015 في المغرب.",1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w030,C1_msa_e5,1,بلغ إنتاج الصيد البحري سنة 2016 حوالي 1.46 مليون طن.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w184,C1_msa_e5,1,بعد أسره، نشأ يوبا الثاني في القصر وعاش في كنف الإمبراطور أغسطس، حيث تعلم الفنون والآداب والعلوم في مدارس روما وأثينا.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w100,C1_msa_e5,1,167 مقعدًا,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w099,C1_msa_e5,1,باب بوجلود يعد المدخل الرئيسي لفاس البالي.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w132,C1_msa_e5,1,مدينة سجلماسة التاريخية تقع في واحة كبيرة جنوب الأطلس الكبير، مقابلة لمدينة الريصاني في تافيلالت الحالية، بالمغرب.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w125,C1_msa_e5,1,سطات تبعد حوالي 83 كم عن الدار البيضاء.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w199,C1_msa_e5,1,لقد تحولت الصويرة إلى العاصمة الاقتصادية للمغرب عندما أعاد السلطان محمد بن عبد الله بناء المدينة على النمط العصري، مما أدى إلى بناء ميناء جديدا وقاعدة عسكرية بحرية، مما أدى إلى تنشيط الاقتصاد وجعلها مركزا تجاريا رئيسيا.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w135,C1_msa_e5,1,من 17% إلى 19% سنة 1984.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w179,C1_msa_e5,1,183 وحدة,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w121,C1_msa_e5,1,أوعبيد الله كانت تعرف بقصبة المرينيين في العصر المريني.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w035,C1_msa_e5,1,حصة المدارات المسقية في الناتج المحلي الخام بين 7% و10% حسب الحالة المائية للسنة.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w049,C1_msa_e5,1,بنك المغرب وسع نطاق تقلب سعر الصرف إلى ±2.5% من سعر الصرف المحوري.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w170,C1_msa_e5,1,تم إقصاء الإدريسيين نهائيا من المغرب في عام 985.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w139,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1,"مدعوم: لا  
مطابق: لا",1
w150,C1_msa_e5,1,مدينة أصيلة تشتهر بالقصبة التاريخية وأسوارها وأبوابها المصنفة كتراث وطني، وبمهرجانها الثقافي الدولي الذي يقام كل صيف.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w133,C1_msa_e5,1,الدولة الإسلامية الأولى التي شيدت بالمغرب الإسلامي قبل سجلماسة هي الدولة الأدارسة، والتي تأسست في عام 788 م.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w128,C1_msa_e5,0,اللون الأبيض اتخذه الموحدون شعارا لهم.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w022,C1_msa_e5,1,إنفاقات حرب الصحراء بلغت يوميا مبلغ مليون دولار.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w082,C1_msa_e5,1,الأيام الثلاثة الأولى من المعرض مخصصة للمحترفين، بينما تبقى الأيام الثلاثة الأخيرة مفتوحة لعامة الناس.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w078,C1_msa_e5,1,مدينة الحاجب تقع على ارتفاع 1200 متر فوق سطح البحر.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w010,C1_msa_e5,1,降低了0.5个百分点从2016年的3.5%降至2017年的3.0% من إجمالي الناتج المحلي.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w083,C1_msa_e5,1,"مساحة المعرض الدولي للفلاحة بالمغرب تبلغ 370,000 م².",1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w165,C1_msa_e5,1,محمد توري أطاح بسني أبو بكر في إمبراطورية صنغاي.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w120,C1_msa_e5,1,القصبة المخزنية بتزنيت تُنسب إلى القائد الحاحي محمد أغناج الذي قام بحملة على سوس بإيعاز من المولى سليمان عام 1810م.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w090,C1_msa_e5,1,الهدف من اللجنة الوطنية لمناخ الأعمال هو اقتراح التدابير الرامية إلى تحسين الإطار القانوني والتنظيمي للأعمال، وتنسيق تنفيذها، وتقييم أثرها على القطاعات المعنية.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w069,C1_msa_e5,1,درجات الحرارة تنخفض بشكل ملحوظ في الأطلس المتوسط الشرقي في المرتفعات التي تتجاوز 1500 متر.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w054,C1_msa_e5,1,السلطات في مطبخ يهود المغرب كانت تُتبّل بالفلفل وزيت الزيتون والكمون.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w091,C1_msa_e5,0,المغرب لم يكن تحت السيادة العثمانية، بل كان تحت سيطرة إسبانيا والإمبراطورية الفرنسية والحماية الفرنسية والإسبانية.,0,1,1,"مدعوم: لا  
مطابق: نعم",0
w095,C1_msa_e5,1,سوق خميس تمسمان يبعد 2 كم عن وسط المدينة الصغيرة كرونة.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w042,C1_msa_e5,1,الصين تسبق المغرب في إنتاج الفوسفات.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w094,C1_msa_e5,1,امتدت سيادة سلاطين المغرب حسب الحجج التاريخية إلى نهر السنغال.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w117,C1_msa_e5,1,ألبرت حوراني,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w200,C1_msa_e5,1,"34,000 رجل",1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w158,C1_msa_e5,1,ازداد عدد الساكنين الحضريين بالمغرب من 13 إلى 17 مليون نسمة بين 1992 و2004.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w026,C1_msa_e5,1,في سنة 2025 أمد المغرب إسبانيا بالكهرباء خلال الانقطاع الإيبيري.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w181,C1_msa_e5,1,صناعة التجميد تتميز بقدرة إنتاجية تصل إلى حوالي 8300 طن في اليوم الواحد.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w148,C1_msa_e5,1,وزير الصحة والحماية الاجتماعية خالد آيت الطالب,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w075,C1_msa_e5,1,تنتشر سلالة الأبقار الماس زعير في منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w059,C1_msa_e5,1,المصريون الذين قام الاستعمار الإسباني بإحصائهم سنة 1974م.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w153,C1_msa_e5,1,صندوق محمد السادس للاستثمار تأسس في عام 2021.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w018,C1_msa_e5,1,%9,0,0,1,"مدعوم: لا  
مطابق: لا",0
w050,C1_msa_e5,1,الهدف الحكومي لخفض الدين العام إلى 60% من إجمالي الناتج المحلي بحلول عام 2021.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w093,C1_msa_e5,1,منذ عام 1960 يتبع إقليم شنقيط لموريتانيا.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w076,C1_msa_e5,1,سلالة تيديلي تم اكتشافها في سنة 1981.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w142,C1_msa_e5,1,وزير الداخلية بالمغرب سنة 2024 كان عبد الوافي لفتيت.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w021,C1_msa_e5,1,55.8%,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w097,C1_msa_e5,1,اتفاق أبريل 2011 نص على توحيد حد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w032,C1_msa_e5,1,3750 دولار أمريكي,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w138,C1_msa_e5,1,مصادر الدخل التي اعتمدتها جمهورية الريف كانت من شكلين رئيسيين: الزكاة وغرامات المجرمين.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w118,C1_msa_e5,1,المقومات المدنية والجيشية والقضائية وال administrative والجيشية والقضائية تتوفر على الإمبراطورية المغربية حسب حوراني.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w012,C1_msa_e5,1,الأوراق البنكية القديمة فقدت قدرتها الإبرائية منذ فاتح أبريل 1998.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w068,C1_msa_e5,1,مركز الريش يتوفر على تعاونية للحليب التي تنتج فائضا يتم تسويقه بمدينة مكناس.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w089,C1_msa_e5,1,レベル المعيشة والتفاوتات الاجتماعية المغرب لازال يسجل نسب مرتفعة على مستوى الفوارق الاجتماعية، إذ ارتفعت نسبة المؤشر الجيني من 39 إلى 40.9%، وأبرز بركة أن هذه النسبة المسجلة تبقى قليلة، مقارنة مع دول أخرى، رغم معدلات النمو المرتفعة التي تحققها. اللجنة الوطنية لمناخ الأعمال أُحدثت في ديسمبر 2009، وتُرأسها رئيس الحكومة.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w092,C1_msa_e5,1,مليلت كانت اعتُبرت أكبر وأهم مدينة أمازيغية في ذلك الوقت.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w025,C1_msa_e5,1,الاستثمارات الأمريكية تتركز في قطاعي السياحة والنسيج في المغرب.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w098,C1_msa_e5,1,المدرسة البوعنانية بفاس بنيت بين عامي 1350م و1355م.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w183,C1_msa_e5,1,على يد الإمبراطور كلوديوس خمدت ثورة إيديمون.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w191,C1_msa_e5,1,الدراسات الاستعمارية تقسم المغرب إلى بلاد السيبة وبلاد المخزن.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w087,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1,"مدعوم: لا  
مطابق: لا",1
w182,C1_msa_e5,1,الوجهة الرئيسية للمنتجات البحرية المجمدة المغربية هي الاتحاد الأوروبي.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w040,C1_msa_e5,1,عدد المؤسسات الابتدائية التي استغلت خلال الموسم الدراسي 2008/2009 هو 435 مدرسة.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w169,C1_msa_e5,1,حوالي 2000 تاجر عربي جاءوا من القيروان في تونس.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
