qid,cond,context,answer,gold_in_context,prompt_tokens,gen_seconds,faithful,correct,faithful_v2,correct_v2,judge_parsed,judge_raw,refused
w041,A,"['wiki_01106', 'wiki_00584', 'wiki_00441', 'wiki_01011', 'wiki_00444']",المغرب يتوفر على %75 من احتياطي الفوسفات العالمي.,1,1663,0.9892391562461853,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w042,A,"['wiki_01106', 'wiki_00617', 'wiki_00584', 'wiki_01650', 'wiki_00441']",الصين,1,1699,0.9892391562461853,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w043,A,"['wiki_02193', 'wiki_02194', 'wiki_02187', 'wiki_02189', 'wiki_02188']","بلغ عدد سكان جماعة خنيفرة سنة 2024 حوالي 242,376 نسمة.",1,1754,0.9892391562461853,0,0,1,0,1,"مدعوم: نعم
مطابق: لا",0
w044,A,"['wiki_02194', 'wiki_02193', 'wiki_02202', 'wiki_02187', 'wiki_02188']",المعلومة غير متوفرة في النصوص,1,1759,0.9892391562461853,1,1,0,0,1,"مدعوم: لا
مطابق: لا",1
w045,A,"['wiki_01074', 'wiki_01070', 'wiki_01077', 'wiki_00955', 'wiki_00959']",لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا.,1,1512,0.9892391562461853,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w046,A,"['wiki_01662', 'wiki_01663', 'wiki_01304', 'wiki_02700', 'wiki_02693']",1503,1,1837,0.9892391562461853,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w047,A,"['wiki_02386', 'wiki_01378', 'wiki_02411', 'wiki_00595', 'wiki_00438']",1050000 هكتار,1,1471,0.9892391562461853,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w048,A,"['wiki_01378', 'wiki_02386', 'wiki_02385', 'wiki_00633', 'wiki_02824']",75%,1,1664,0.9892391562461853,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w049,A,"['wiki_02226', 'wiki_02225', 'wiki_01486', 'wiki_01280', 'wiki_02609']","±2,5٪",1,1751,0.9169020652770996,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w050,A,"['wiki_02609', 'wiki_01361', 'wiki_01418', 'wiki_01368', 'wiki_00415']",خفض الدين العام إلى 60% من إجمالي الناتج المحلي بحلول عام 2021.,1,1699,0.9169020652770996,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w051,A,"['wiki_01040', 'wiki_01981', 'wiki_01983', 'wiki_01035', 'wiki_01043']",ثماني وعشرين سنة,1,1509,0.9169020652770996,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w052,A,"['wiki_01040', 'wiki_02278', 'wiki_01444', 'wiki_01972', 'wiki_00620']",19 ماي 1881م,1,1712,0.9169020652770996,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w053,A,"['wiki_02950', 'wiki_02955', 'wiki_02954', 'wiki_02957', 'wiki_02956']",ستة إلى ثمانية أنواع من السلطات.,1,1832,0.9169020652770996,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w054,A,"['wiki_02950', 'wiki_02954', 'wiki_02953', 'wiki_02955', 'wiki_02956']",بالفلفل وزيت الزيتون والكمون.,1,1812,0.9169020652770996,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w055,A,"['wiki_00949', 'wiki_00200', 'wiki_00948', 'wiki_00936', 'wiki_00943']",المعلومة غير متوفرة في النصوص,1,1445,0.9169020652770996,1,0,0,0,1,"مدعوم: لا
مطابق: لا",1
w056,A,"['wiki_00949', 'wiki_00948', 'wiki_02671', 'wiki_01773', 'wiki_02497']",يعد تاريخ النقوش الصخرية بالسمارة إلى 4000-8000 ق.م.,1,1519,0.9169020652770996,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w057,A,"['wiki_02594', 'wiki_02596', 'wiki_02597', 'wiki_02595', 'wiki_00043']",سعيد العلام,1,1725,2.0679111778736115,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w058,A,"['wiki_02594', 'wiki_02596', 'wiki_02597', 'wiki_02595', 'wiki_00059']",جائزة كتارا للرواية العربية، سنة 2020,1,1680,2.0679111778736115,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w059,A,"['wiki_01477', 'wiki_01476', 'wiki_00366', 'wiki_01267', 'wiki_01478']",البوليساريو اقترحت إشراك الصحراويين الذين تم إحصاؤهم من طرف الإدارة الإسبانية عام 1974م في الاستفتاء.,1,1520,2.0679111778736115,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w060,A,"['wiki_01477', 'wiki_00301', 'wiki_01659', 'wiki_01266', 'wiki_01252']",السلطات الإسبانية رحلت القبائل الصحراوية إلى إقليم واد نون في المغرب سنة 1969.,1,1828,2.0679111778736115,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w061,A,"['wiki_02133', 'wiki_00652', 'wiki_00651', 'wiki_02130', 'wiki_02129']",أُرسل الأسطول البحري الأمريكي في 13 مايو 1801 في بداية الحرب.,1,1689,2.0679111778736115,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w062,A,"['wiki_00651', 'wiki_00652', 'wiki_02130', 'wiki_02124', 'wiki_00653']",توماس جيفرسون,1,1647,2.0679111778736115,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w063,A,"['wiki_00873', 'wiki_00879', 'wiki_00871', 'wiki_00878', 'wiki_00872']",الصناعة التقليدية التي يتميز بها مركز الريش هي الزربية والجلباب.,1,1666,2.0679111778736115,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w064,A,"['wiki_00873', 'wiki_00879', 'wiki_00868', 'wiki_00875', 'wiki_00869']",صناعة الفخار، الدباغة، صياغة الحلي.,1,1480,2.0679111778736115,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w065,A,"['wiki_00622', 'wiki_01357', 'wiki_02895', 'wiki_00193', 'wiki_00195']",عاش أمازيغ الأطلس المتوسط في جماعات منعزلة ومغلقة، كل قبيلة كانت كيانًا مستقلًا بخصوصياتها دون علاقات واضحة مع القبائل المجاورة.,1,1525,2.4233200550079346,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w066,A,"['wiki_00622', 'wiki_01061', 'wiki_01714', 'wiki_02180', 'wiki_01062']",لم يعرفت القبائل الأمازيغية شكلا من أشكال الاتحاد الكونفدرالي.,1,1706,2.4233200550079346,1,1,0,0,1,"مدعوم: لا
مطابق: لا",0
w067,A,"['wiki_00872', 'wiki_00879', 'wiki_02825', 'wiki_02793', 'wiki_00871']",سعة وحدة التبريد المخصصة للحفاظ على التفاح تصل إلى 1600 طن.,1,1794,2.4233200550079346,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w068,A,"['wiki_00879', 'wiki_00872', 'wiki_01101', 'wiki_00873', 'wiki_00878']",مدينة مكناس,1,1679,2.4233200550079346,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w069,A,"['wiki_01254', 'wiki_01253', 'wiki_00193', 'chunk_058', 'wiki_00797']",تتنخفض درجات الحرارة بشكل ملحوظ في المرتفعات التي تتجاوز 1500 متر.,1,1486,2.4233200550079346,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w070,A,"['wiki_01791', 'wiki_01797', 'wiki_01796', 'wiki_02002', 'wiki_01792']",المعلومة غير متوفرة في النصوص,0,1343,2.4233200550079346,0,0,0,0,1,"مدعوم: لا
مطابق: لا",1
w071,A,"['wiki_01791', 'wiki_01796', 'wiki_01795', 'wiki_01797', 'wiki_01510']",1500,1,1410,2.4233200550079346,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w072,A,"['wiki_01795', 'wiki_01793', 'wiki_01794', 'wiki_01952', 'wiki_01347']",بين 1614 و1681,1,1794,2.4233200550079346,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w073,A,"['wiki_02019', 'wiki_02017', 'wiki_01953', 'wiki_02015', 'wiki_02021']",يوليو - غشت 1947,1,1439,1.670660138130188,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w074,A,"['wiki_02015', 'wiki_02016', 'wiki_02017', 'wiki_02020', 'wiki_02019']",تمتاز الجماعة بمدينة جرادة منتخبا مختارا من قبل رؤساء العائلات حسب الانتماء الإثني لكل مجموعة قبيلة.,1,1735,1.670660138130188,1,1,1,0,1,"مدعوم: نعم
مطابق: لا",0
w075,A,"['wiki_01101', 'wiki_01103', 'wiki_01102', 'wiki_01878', 'wiki_00920']",تنتشر سلالة الأبقار والماس زعير في كل من منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1641,1.670660138130188,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w076,A,"['wiki_01101', 'wiki_02814', 'wiki_02812', 'wiki_02243', 'wiki_01671']",سنة 1981,1,1662,1.670660138130188,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w077,A,"['wiki_01101', 'wiki_01103', 'wiki_01102', 'wiki_00920', 'wiki_01099']",سلالة مكناس,1,1718,1.670660138130188,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w078,A,"['wiki_00645', 'wiki_00643', 'wiki_00646', 'wiki_00647', 'wiki_00644']",على ارتفاع 1200 متر فوق سطح البحر.,1,1692,1.670660138130188,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w079,A,"['wiki_00643', 'wiki_00645', 'wiki_00646', 'wiki_00647', 'wiki_00644']",32 كلم,1,1693,1.670660138130188,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w080,A,"['wiki_00643', 'wiki_00645', 'wiki_00646', 'wiki_00648', 'wiki_00767']",عين ذهيبة,1,1784,1.670660138130188,0,0,0,0,1,"مدعوم: لا
مطابق: لا",0
w081,A,"['wiki_01214', 'wiki_01216', 'wiki_01215', 'wiki_01104', 'wiki_01217']",6 يوما,1,1490,1.0601013004779816,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w082,A,"['wiki_01216', 'wiki_01214', 'wiki_01215', 'wiki_01217', 'wiki_01104']",الأيام الثلاثة الأولى مخصصة للمحترفين، والأيام الثلاثة الأخرى مفتوحة لعامة الناس.,1,1493,1.0601013004779816,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w083,A,"['wiki_01214', 'wiki_01216', 'wiki_01215', 'wiki_01217', 'wiki_01104']","مساحة المعرض الدولي للفلاحة بالمغرب تبلغ 370,000 m2.",1,1490,1.0601013004779816,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w084,A,"['wiki_02924', 'wiki_02926', 'wiki_02294', 'wiki_02927', 'wiki_02925']",الاقتصاد في مدينة مرزوكة يعتمد بشكل رئيسي على السياحة.,1,1709,1.0601013004779816,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w085,A,"['wiki_02924', 'wiki_02926', 'wiki_02927', 'wiki_01941', 'wiki_02925']",المدينة تعاني من مشاكل في النظافة وقلة الموارد المائية وضعف الخدمات اللوجستيكية ونقص قنوات الصرف الصحي وضعف قطاع الصحة.,1,1733,1.0601013004779816,0,1,1,0,1,"مدعوم: نعم
مطابق: لا",0
w086,A,"['wiki_01372', 'wiki_01373', 'wiki_00350', 'wiki_00572', 'wiki_01071']",سنة 2012,1,1640,1.0601013004779816,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w087,A,"['wiki_01372', 'wiki_00778', 'wiki_00796', 'wiki_00424', 'wiki_01373']",120 كيلومترًا,1,1711,1.0601013004779816,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w088,A,"['wiki_01372', 'wiki_01373', 'wiki_00707', 'wiki_00468', 'wiki_01141']",مساحة المنطقة الحرة الأطلسية تقارب 500 هكتار.,1,1517,1.0601013004779816,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w089,A,"['wiki_01161', 'wiki_01162', 'wiki_01163', 'wiki_00508', 'wiki_00455']",أُحدثت اللجنة الوطنية لمناخ الأعمال سنة 2009 ويرأسها رئيس الحكومة.,1,1599,0.9486549198627472,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w090,A,"['wiki_01161', 'wiki_01162', 'wiki_01163', 'wiki_00455', 'wiki_00456']",الهدف من اللجنة الوطنية لمناخ الأعمال هو تحسين مناخ الأعمال وتعزيز جاذبية المغرب للاستثمارات.,1,1477,0.9486549198627472,1,1,0,0,1,"مدعوم: لا
مطابق: لا",0
w091,A,"['wiki_01715', 'wiki_01768', 'wiki_01783', 'wiki_01267', 'wiki_01251']",المعلومة غير متوفرة في النصوص,0,1641,0.9486549198627472,0,0,0,0,1,"مدعوم: لا
مطابق: لا",1
w092,A,"['wiki_02700', 'wiki_02702', 'wiki_00904', 'wiki_00196', 'wiki_02187']",مراكش,1,1680,0.9486549198627472,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w093,A,"['wiki_00323', 'wiki_00324', 'wiki_00325', 'wiki_01660', 'wiki_01658']",منذ سنة 1960 يتبع إقليم شنقيط لموريتانيا.,1,1809,0.9486549198627472,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w094,A,"['wiki_00324', 'wiki_00325', 'wiki_01329', 'wiki_01252', 'wiki_00930']",نهر السنغال,1,1601,0.9486549198627472,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w095,A,"['wiki_02031', 'wiki_00901', 'wiki_02030', 'wiki_02675', 'wiki_00802']",2 كم,1,1576,0.9486549198627472,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w096,A,"['wiki_00650', 'wiki_00649', 'wiki_01378', 'wiki_00615', 'wiki_02385']",مرسوم رقم 2.24.1122,1,1553,0.9486549198627472,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w097,A,"['wiki_00650', 'wiki_00373', 'wiki_02973', 'wiki_01489', 'wiki_02863']",توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات,1,1385,0.8741400241851807,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w098,A,"['wiki_01204', 'wiki_01203', 'wiki_00487', 'wiki_00474', 'wiki_00793']",المدرسة البوعنانية بُنيت ما بين عامي 1350م و1355م.,1,1650,0.8741400241851807,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w099,A,"['wiki_01204', 'wiki_01203', 'wiki_01205', 'wiki_01453', 'wiki_01614']",باب بوجلود يعد المدخل الرئيسي لفاس البالي.,1,1680,0.8741400241851807,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w100,A,"['wiki_01367', 'wiki_01366', 'wiki_00451', 'wiki_00810', 'wiki_00445']",167 مقعدا,1,1642,0.8741400241851807,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w101,A,"['wiki_02640', 'wiki_02635', 'wiki_02646', 'wiki_02644', 'wiki_02641']",200 ملم,1,1573,0.8741400241851807,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w102,A,"['wiki_02640', 'wiki_02635', 'wiki_02204', 'wiki_02641', 'wiki_01065']",تفوق 39.6 درجة مئوية,1,1687,0.8741400241851807,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w103,A,"['wiki_02640', 'wiki_02635', 'wiki_02644', 'wiki_02643', 'wiki_02646']",واد الشارف واد تبودة وادي مسخسخة وادي وزين,1,1673,0.8741400241851807,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w104,A,"['wiki_00431', 'wiki_01650', 'wiki_00430', 'wiki_00427', 'wiki_01430']",تداخل النزعة الليبرالية مع الاقتصاد الموجّه.,1,1582,0.8741400241851807,1,1,1,0,1,"مدعوم: نعم
مطابق: لا",0
w105,A,"['wiki_00431', 'wiki_00430', 'wiki_00461', 'wiki_01650', 'wiki_01997']",أولى الأوراش الاقتصادية لأولى الحكومات المغربية تخص إرساء الاستقلالية الاقتصادية، لدولة خارجة للتو من الاستعمار.,1,1610,1.0943019390106201,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w106,A,"['wiki_00565', 'wiki_01491', 'wiki_01490', 'wiki_01486', 'wiki_02224']",أُنشئ البنك المخزني المغربي سنة 1907 في طنجة شمال المغرب.,1,1742,1.0943019390106201,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w107,A,"['wiki_00565', 'wiki_01490', 'wiki_01486', 'wiki_01491', 'wiki_01489']",قامت البنك المخزني بدور البنك المركزي إلى غاية سنة 1959.,1,1698,1.0943019390106201,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w108,A,"['wiki_02856', 'wiki_00717', 'wiki_00719', 'wiki_00716', 'wiki_00692']",الغرض الرئيسي من تنظيم مؤتمر الجزيرة الخضراء كان حل الأزمة المغربية الأولى وتحديد مصير المغرب كمستعمرة أوروبية.,0,1514,1.0943019390106201,1,0,0,0,1,"مدعوم: لا
مطابق: لا",0
w109,A,"['wiki_00738', 'wiki_00737', 'wiki_00734', 'wiki_00735', 'wiki_01362']",أحمد بن المهدي الغزال,1,1592,1.0943019390106201,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w110,A,"['wiki_00738', 'wiki_00737', 'wiki_00579', 'wiki_01126', 'wiki_01347']",لقد زار محمد بن عثمان المكناسي إسبانيا لعقد معاهدة لتجديد الصلح بين المغرب وإسبانيا وإطلاق صراح الأسرى الجزائريين بإسبانيا.,1,1467,1.0943019390106201,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w111,A,"['wiki_02472', 'wiki_00114', 'wiki_02730', 'wiki_00070', 'wiki_00139']",الكلمة «أصفراو» في اللغة الأمازيغية تعني المنطقة المقعرة.,1,1809,1.0943019390106201,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w112,A,"['wiki_02472', 'wiki_02471', 'wiki_02479', 'wiki_02481', 'wiki_02476']",قبائل الباكوات لـموريطنية الطنجية,1,1811,1.0943019390106201,0,0,0,0,1,"مدعوم: لا
مطابق: لا",0
w113,A,"['wiki_02472', 'wiki_02481', 'wiki_02477', 'wiki_02479', 'wiki_00127']",البهاليل,1,1729,0.9790444076061249,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
