qid,cond,context,answer,gold_in_context,generator,faithful,correct,judge_parsed,judge_raw,correct_oldjudge,faithful_oldjudge,judge_version,refused
w045,A,"['wiki_01074', 'wiki_01070', 'wiki_01077', 'wiki_00955', 'wiki_00959']",باش يشجعو الاستثمارات والصادرات، ويساهمو فتمويل مشروع طرامواي الرباط - سلا.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w046,A,"['wiki_01662', 'wiki_01663', 'wiki_01304', 'wiki_02700', 'wiki_02693']",عدد الجماعات في المغرب بلغ 75 سنة 2009.,1,MBZUAI-Paris/Atlas-Chat-9B,0,0,1,"مدعوم: لا
مطابق: لا",0,0,Atlas-Chat-9B/v2,0
w047,A,"['wiki_02386', 'wiki_01378', 'wiki_02411', 'wiki_00595', 'wiki_00438']",تبلغ المساحة المسقية حاليا في المغرب 1050000 هكتار.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w048,A,"['wiki_01378', 'wiki_02386', 'wiki_02385', 'wiki_00633', 'wiki_02824']",الزراعة المسقية كتساهم في 75% من الصادرات الفلاحية.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w049,A,"['wiki_02226', 'wiki_02225', 'wiki_01486', 'wiki_01280', 'wiki_02609']",بنك المغرب وسع نطاق تقلب سعر الصرف إلى ±2.5٪ حول سعر الصرف المحوري.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w050,A,"['wiki_02609', 'wiki_01361', 'wiki_01418', 'wiki_01368', 'wiki_00415']",الهدف الحكومي هو خفض الدين العام إلى 60% من إجمالي الناتج المحلي بحلول عام 2021.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w051,A,"['wiki_01040', 'wiki_01981', 'wiki_01983', 'wiki_01035', 'wiki_01043']",ثورة الشيخ بوعمامة دامت ثماني وعشرين سنة.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w052,A,"['wiki_01040', 'wiki_02278', 'wiki_01444', 'wiki_01972', 'wiki_00620']",معركة تازينة وقعت فـ19 ماي 1881م.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w053,A,"['wiki_02950', 'wiki_02955', 'wiki_02954', 'wiki_02957', 'wiki_02956']",المزة تتكون من 6-8 أنواع من السلطات.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w054,A,"['wiki_02950', 'wiki_02954', 'wiki_02953', 'wiki_02955', 'wiki_02956']",كانت السلطات تُتبّل بالفلفل وزيت الزيتون والكمون، كما استُخدم الخل أيضًا تحت تأثير المطبخ الفرنسي.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w055,A,"['wiki_00949', 'wiki_00200', 'wiki_00948', 'wiki_00936', 'wiki_00943']",أكثر من أربعة وثلاثين موقع.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w056,A,"['wiki_00949', 'wiki_00948', 'wiki_02671', 'wiki_01773', 'wiki_02497']",النقوش الصخرية بالسمارة كتعود لفترة ما قبل التاريخ، وبعضها كيرجع لـ4000-8000 قبل الميلاد.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w057,A,"['wiki_02594', 'wiki_02596', 'wiki_02597', 'wiki_02595', 'wiki_00043']",الدكتور سعيد العلام.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w058,A,"['wiki_02594', 'wiki_02596', 'wiki_02597', 'wiki_02595', 'wiki_00059']",فازت رواية عذراء غرناطة بجائزة كتارا للرواية العربية في صنف الرواية غير المنشورة، سنة 2020.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w059,A,"['wiki_01477', 'wiki_01476', 'wiki_00366', 'wiki_01267', 'wiki_01478']",البوليساريو اقترح إشراك الصحراويين اللي دارهم الإسبان إحصاء ليهم فعام 1974م.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w060,A,"['wiki_01477', 'wiki_00301', 'wiki_01659', 'wiki_01266', 'wiki_01252']",إقليم واد نون في المغرب,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w061,A,"['wiki_02133', 'wiki_00652', 'wiki_00651', 'wiki_02130', 'wiki_02129']",13 مايو 1801,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w062,A,"['wiki_00651', 'wiki_00652', 'wiki_02130', 'wiki_02124', 'wiki_00653']",الحرب بدات فعهد الرئيس توماس جيفرسون.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w063,A,"['wiki_00873', 'wiki_00879', 'wiki_00871', 'wiki_00878', 'wiki_00872']",الصناعات التقليدية ديال مركز الريش كتشمل الزربية، الجلباب، صناعة الفخار، الدباغة، وصياغة الحلي.,1,MBZUAI-Paris/Atlas-Chat-9B,1,0,1,"مدعوم: نعم
مطابق: لا",0,0,Atlas-Chat-9B/v2,0
w064,A,"['wiki_00873', 'wiki_00879', 'wiki_00868', 'wiki_00875', 'wiki_00869']",الصناعات اللي انقرضت في منطقة الريش هي: صناعة الفخار، الدباغة، وصياغة الحلي.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w065,A,"['wiki_00622', 'wiki_01357', 'wiki_02895', 'wiki_00193', 'wiki_00195']",الأمازيغ في منطقة الأطلس المتوسط عاشوا في جماعات منعزلة ومغلقة، بخلاف ما افترضه بعض المستكشفين الأوروبيين. كل قبيلة كيان مستقل بخصوصياتها، دون علاقات واضحة حتى مع القبائل المجاورة.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w066,A,"['wiki_00622', 'wiki_01061', 'wiki_01714', 'wiki_02180', 'wiki_01062']",لا، المعلومة غير متوفرة في النصوص.,1,MBZUAI-Paris/Atlas-Chat-9B,0,0,1,"مدعوم: لا
مطابق: لا",1,0,Atlas-Chat-9B/v2,1
w067,A,"['wiki_00872', 'wiki_00879', 'wiki_02825', 'wiki_02793', 'wiki_00871']",سعة وحدة التبريد المخصصة للحفاظ على التفاح بالريش هي 1600 طن.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w068,A,"['wiki_00879', 'wiki_00872', 'wiki_01101', 'wiki_00873', 'wiki_00878']",فائض إنتاج تعاونية الحليب بالريش كيتم تسويقو فمدينة مكناس.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w069,A,"['wiki_01254', 'wiki_01253', 'wiki_00193', 'chunk_058', 'wiki_00797']",درجات الحرارة كتنخفض بشكل ملحوظ في المرتفعات اللي كتفوت 1500 متر في الأطلس المتوسط الشرقي.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w070,A,"['wiki_01791', 'wiki_01797', 'wiki_01796', 'wiki_02002', 'wiki_01792']","الإسبان سماو موقع المهدية باسم ""المعمورة"".",0,MBZUAI-Paris/Atlas-Chat-9B,0,0,1,"مدعوم: لا
مطابق: لا",0,0,Atlas-Chat-9B/v2,0
w071,A,"['wiki_01791', 'wiki_01796', 'wiki_01795', 'wiki_01797', 'wiki_01510']",الإسبان ثبتوا حامية عسكرية ب 1500 جندي في حامية المهدية.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w072,A,"['wiki_01795', 'wiki_01793', 'wiki_01794', 'wiki_01952', 'wiki_01347']",الوجود الإسباني في المعمورة امتد بين 1614 و1681.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w073,A,"['wiki_02019', 'wiki_02017', 'wiki_01953', 'wiki_02015', 'wiki_02021']",مركز المراقب المدني تم خلقو بجرادة في يوليوز-غشت 1947.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w074,A,"['wiki_02015', 'wiki_02016', 'wiki_02017', 'wiki_02020', 'wiki_02019']",الجماعة كانت تتألف من منتخبين مختارين من قبل رؤساء العائلات حسب الانتماء الإثني لكل مجموعة قبيلة,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w075,A,"['wiki_01101', 'wiki_01103', 'wiki_01102', 'wiki_01878', 'wiki_00920']",سلالة الأبقار والماس زعير تنتشر في منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w076,A,"['wiki_01101', 'wiki_02814', 'wiki_02812', 'wiki_02243', 'wiki_01671']",تم اكتشاف سلالة تيديلي في سنة 1981.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w077,A,"['wiki_01101', 'wiki_01103', 'wiki_01102', 'wiki_00920', 'wiki_01099']",سلالة مكناس هي اللي موجهة إلى إنتاج الحليب بدون منازع.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w078,A,"['wiki_00645', 'wiki_00643', 'wiki_00646', 'wiki_00647', 'wiki_00644']",مدينة الحاجب تقع على ارتفاع 1200 متر فوق سطح البحر.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w079,A,"['wiki_00643', 'wiki_00645', 'wiki_00646', 'wiki_00647', 'wiki_00644']",مدينة الحاجب كاينة على بعد 32 كيلومتر جنوب مدينة مكناس.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w080,A,"['wiki_00643', 'wiki_00645', 'wiki_00646', 'wiki_00648', 'wiki_00767']",أشهر مغارة بمدينة الحاجب هي مغارة عين ذهيبة.,1,MBZUAI-Paris/Atlas-Chat-9B,0,0,1,"مدعوم: لا
مطابق: لا",0,0,Atlas-Chat-9B/v2,0
w081,A,"['wiki_01214', 'wiki_01216', 'wiki_01215', 'wiki_01104', 'wiki_01217']",المعرض الدولي للفلاحة بالمغرب كيدوم 6 أيام كل عام.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w082,A,"['wiki_01216', 'wiki_01214', 'wiki_01215', 'wiki_01217', 'wiki_01104']",الأيام الثلاثة الأولى مخصصة للمحترفين، والأيام الثلاثة الأخرى مفتوحة لعامة الناس.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w083,A,"['wiki_01214', 'wiki_01216', 'wiki_01215', 'wiki_01217', 'wiki_01104']","مساحة المعرض هي 370,000 متر مربع.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w084,A,"['wiki_02924', 'wiki_02926', 'wiki_02294', 'wiki_02927', 'wiki_02925']",اقتصاد مدينة مرزوكة كيعتمد بشكل كبير على السياحة.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
