qid,cond,prompt,context,answer,gold_in_context,faithful,correct,judge_raw,refused
w011,A,P1,"['wiki_00563', 'wiki_00453', 'wiki_00564', 'chunk_011', 'wiki_02608']",المعلومة غير متوفرة في النصوص,1,0,0,"مدعوم: لا
مطابق: لا",1
w012,A,P1,"['wiki_02230', 'wiki_02227', 'wiki_02228', 'wiki_02229', 'wiki_02224']",فاتح أبريل 1998,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w013,A,P1,"['wiki_02230', 'wiki_02227', 'wiki_02228', 'wiki_02231', 'wiki_02224']",استمر تبديل الأوراق البنكية المسحوبة في شبابيك بنك المغرب إلى غاية 31 دجنبر 2011.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w014,A,P1,"['wiki_02691', 'wiki_02693', 'chunk_002', 'wiki_01303', 'wiki_02692']","36,8 مليون نسمة",1,1,1,"مدعوم: نعم
مطابق: نعم",0
w015,A,P1,"['wiki_02691', 'wiki_00564', 'wiki_00582', 'wiki_00563', 'wiki_02607']","ارتفع معدل التمدن من 29% في 1960 إلى 62,8% في 2024.",1,1,1,"مدعوم: نعم
مطابق: نعم",0
w016,A,P1,"['wiki_02691', 'wiki_02194', 'wiki_00564', 'wiki_02693', 'wiki_02741']",المعلومة غير متوفرة في النصوص,1,1,0,"مدعوم: نعم
مطابق: لا",1
w017,A,P1,"['wiki_01011', 'wiki_01012', 'wiki_01297', 'wiki_01020', 'wiki_01018']","نسبة الطاقات الأحفورية من استهلاك الطاقة الأولية سنة 2015 هي %88,8.",1,1,1,"مدعوم: نعم
مطابق: نعم",0
w018,A,P1,"['wiki_01011', 'wiki_01297', 'wiki_00443', 'wiki_01020', 'wiki_01379']",9.4٪,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w019,A,P1,"['wiki_00436', 'wiki_00569', 'wiki_00426', 'wiki_01110', 'wiki_01106']",15%,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w020,A,P1,"['wiki_00448', 'wiki_00568', 'wiki_00436', 'wiki_01292', 'wiki_00435']",الواردات المغربية تتكون أساسا من المواد الطاقية والمواد التجهيزية والمواد الغذائية.,1,0,0,"مدعوم: لا
مطابق: لا",0
w021,A,P1,"['wiki_01430', 'wiki_01654', 'wiki_00436', 'wiki_01292', 'wiki_01432']",55.8 %,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w022,A,P1,"['wiki_01430', 'wiki_01766', 'wiki_01476', 'wiki_01230', 'wiki_02521']",مليون دولار يوميا,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w023,A,P1,"['wiki_00350', 'wiki_00574', 'wiki_00572', 'wiki_02967', 'wiki_00575']",وقعت اتفاقية التجارة الحرة بين المغرب والولايات المتحدة في 15 يونيو 2004.,1,1,0,"مدعوم: نعم
مطابق: لا",0
w024,A,P1,"['wiki_00574', 'wiki_01284', 'wiki_00575', 'wiki_00569', 'wiki_00436']",百分之一百二十二,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w025,A,P1,"['wiki_00574', 'wiki_00740', 'wiki_01269', 'wiki_00432', 'wiki_02967']",قطاعي السياحة والنسيج,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w026,A,P1,"['wiki_01297', 'wiki_00682', 'wiki_00689', 'wiki_01770', 'wiki_01298']",سنة 2025,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w027,A,P1,"['wiki_01021', 'wiki_01012', 'wiki_01011', 'wiki_01297', 'wiki_01013']",80.4٪,1,0,0,"مدعوم: لا
مطابق: لا",0
w028,A,P1,"['wiki_02790', 'wiki_02789', 'wiki_01372', 'wiki_01408', 'wiki_02611']",طنجة وأكادير والعيون,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w029,A,P1,"['wiki_02790', 'wiki_01289', 'wiki_02783', 'wiki_02791', 'wiki_02795']",Saskفت الناتج الداخلي الخام لقطاع الصيد البحري من 8.3 إلى 15 مليار درهم بين 2007 و2015.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w030,A,P1,"['wiki_02790', 'wiki_01289', 'wiki_02783', 'wiki_02791', 'wiki_02792']",1460000 طن,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w031,A,P1,"['wiki_01281', 'wiki_00428', 'wiki_02608', 'wiki_00445', 'wiki_00412']",56.5%,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w032,A,P1,"['wiki_01281', 'wiki_02609', 'wiki_01361', 'wiki_02608', 'wiki_01312']",3.750 دولار أمريكي,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w033,A,P1,"['wiki_01281', 'wiki_01284', 'wiki_01312', 'wiki_00563', 'wiki_01279']",يحتل المغرب المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w034,A,P1,"['wiki_02387', 'wiki_01379', 'wiki_01020', 'wiki_01380', 'wiki_01021']",2700 مليون كيلواط,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w035,A,P1,"['wiki_01379', 'wiki_02386', 'wiki_01378', 'wiki_01281', 'wiki_02411']",حصة المدارات المسقية في الناتج المحلي الخام بين 7% و10% حسب الحالة المائية للسنة.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w036,A,P1,"['wiki_01377', 'wiki_02384', 'wiki_00436', 'wiki_01095', 'wiki_00428']",40% حتى 60%,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w037,A,P1,"['wiki_00438', 'wiki_00439', 'wiki_01312', 'chunk_007', 'wiki_01814']",90%,0,0,0,"مدعوم: لا
مطابق: لا",0
w038,A,P1,"['wiki_02635', 'wiki_02646', 'wiki_02645', 'wiki_02644', 'wiki_02643']",16289,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w039,A,P1,"['wiki_02646', 'wiki_02635', 'wiki_02643', 'wiki_02644', 'wiki_02645']",في سنة 1995,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w040,A,P1,"['wiki_00814', 'wiki_00813', 'wiki_02649', 'wiki_02333', 'wiki_01568']",عدد المدارس الابتدائية بالدار البيضاء خلال الموسم الدراسي 2008/2009 هو 435 مدرسة.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w041,A,P1,"['wiki_01106', 'wiki_00584', 'wiki_00441', 'wiki_01011', 'wiki_00444']",المغرب يتوفر على %75 من احتياطي الفوسفات العالمي.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w042,A,P1,"['wiki_01106', 'wiki_00617', 'wiki_00584', 'wiki_01650', 'wiki_00441']",الصين,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w043,A,P1,"['wiki_02193', 'wiki_02194', 'wiki_02187', 'wiki_02189', 'wiki_02188']","بلغ عدد سكان جماعة خنيفرة سنة 2024 حوالي 242,376 نسمة.",1,0,0,"مدعوم: لا
مطابق: لا",0
w044,A,P1,"['wiki_02194', 'wiki_02193', 'wiki_02202', 'wiki_02187', 'wiki_02188']",المعلومة غير متوفرة في النصوص,1,1,1,"مدعوم: نعم
مطابق: نعم",1
w045,A,P1,"['wiki_01074', 'wiki_01070', 'wiki_01077', 'wiki_00955', 'wiki_00959']",لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w046,A,P1,"['wiki_01662', 'wiki_01663', 'wiki_01304', 'wiki_02700', 'wiki_02693']",1503,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w047,A,P1,"['wiki_02386', 'wiki_01378', 'wiki_02411', 'wiki_00595', 'wiki_00438']",1050000 هكتار,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w048,A,P1,"['wiki_01378', 'wiki_02386', 'wiki_02385', 'wiki_00633', 'wiki_02824']",75%,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w049,A,P1,"['wiki_02226', 'wiki_02225', 'wiki_01486', 'wiki_01280', 'wiki_02609']","±2,5٪",1,1,1,"مدعوم: نعم
مطابق: نعم",0
w050,A,P1,"['wiki_02609', 'wiki_01361', 'wiki_01418', 'wiki_01368', 'wiki_00415']",خفض الدين العام إلى 60% من إجمالي الناتج المحلي بحلول عام 2021.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w051,A,P1,"['wiki_01040', 'wiki_01981', 'wiki_01983', 'wiki_01035', 'wiki_01043']",ثماني وعشرين سنة,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w052,A,P1,"['wiki_01040', 'wiki_02278', 'wiki_01444', 'wiki_01972', 'wiki_00620']",19 ماي 1881م,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w053,A,P1,"['wiki_02950', 'wiki_02955', 'wiki_02954', 'wiki_02957', 'wiki_02956']",ستة إلى ثمانية أنواع من السلطات.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w054,A,P1,"['wiki_02950', 'wiki_02954', 'wiki_02953', 'wiki_02955', 'wiki_02956']",بالفلفل وزيت الزيتون والكمون.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w055,A,P1,"['wiki_00949', 'wiki_00200', 'wiki_00948', 'wiki_00936', 'wiki_00943']",المعلومة غير متوفرة في النصوص,1,1,0,"مدعوم: نعم
مطابق: لا",1
w056,A,P1,"['wiki_00949', 'wiki_00948', 'wiki_02671', 'wiki_01773', 'wiki_02497']",يعد تاريخ النقوش الصخرية بالسمارة إلى 4000-8000 ق.م.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w057,A,P1,"['wiki_02594', 'wiki_02596', 'wiki_02597', 'wiki_02595', 'wiki_00043']",سعيد العلام,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w058,A,P1,"['wiki_02594', 'wiki_02596', 'wiki_02597', 'wiki_02595', 'wiki_00059']",جائزة كتارا للرواية العربية، سنة 2020,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w059,A,P1,"['wiki_01477', 'wiki_01476', 'wiki_00366', 'wiki_01267', 'wiki_01478']",البوليساريو اقترحت إشراك الصحراويين الذين تم إحصاؤهم من طرف الإدارة الإسبانية عام 1974م في الاستفتاء.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w060,A,P1,"['wiki_01477', 'wiki_00301', 'wiki_01659', 'wiki_01266', 'wiki_01252']",السلطات الإسبانية رحلت القبائل الصحراوية إلى إقليم واد نون في المغرب سنة 1969.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w061,A,P1,"['wiki_02133', 'wiki_00652', 'wiki_00651', 'wiki_02130', 'wiki_02129']",أُرسل الأسطول البحري الأمريكي في 13 مايو 1801 في بداية الحرب.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w062,A,P1,"['wiki_00651', 'wiki_00652', 'wiki_02130', 'wiki_02124', 'wiki_00653']",توماس جيفرسون,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w063,A,P1,"['wiki_00873', 'wiki_00879', 'wiki_00871', 'wiki_00878', 'wiki_00872']",الصناعة التقليدية التي يتميز بها مركز الريش هي الزربية والجلباب.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w064,A,P1,"['wiki_00873', 'wiki_00879', 'wiki_00868', 'wiki_00875', 'wiki_00869']",صناعة الفخار، الدباغة، صياغة الحلي.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w065,A,P1,"['wiki_00622', 'wiki_01357', 'wiki_02895', 'wiki_00193', 'wiki_00195']",عاش أمازيغ الأطلس المتوسط في جماعات منعزلة ومغلقة، كل قبيلة كانت كيانًا مستقلًا بخصوصياتها دون علاقات واضحة مع القبائل المجاورة.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w066,A,P1,"['wiki_00622', 'wiki_01061', 'wiki_01714', 'wiki_02180', 'wiki_01062']",لم يعرفت القبائل الأمازيغية شكلا من أشكال الاتحاد الكونفدرالي.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w067,A,P1,"['wiki_00872', 'wiki_00879', 'wiki_02825', 'wiki_02793', 'wiki_00871']",سعة وحدة التبريد المخصصة للحفاظ على التفاح تصل إلى 1600 طن.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w068,A,P1,"['wiki_00879', 'wiki_00872', 'wiki_01101', 'wiki_00873', 'wiki_00878']",مدينة مكناس,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w069,A,P1,"['wiki_01254', 'wiki_01253', 'wiki_00193', 'chunk_058', 'wiki_00797']",تتنخفض درجات الحرارة بشكل ملحوظ في المرتفعات التي تتجاوز 1500 متر.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w070,A,P1,"['wiki_01791', 'wiki_01797', 'wiki_01796', 'wiki_02002', 'wiki_01792']",المعلومة غير متوفرة في النصوص,0,0,0,"مدعوم: لا
مطابق: لا",1
w071,A,P1,"['wiki_01791', 'wiki_01796', 'wiki_01795', 'wiki_01797', 'wiki_01510']",1500,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w072,A,P1,"['wiki_01795', 'wiki_01793', 'wiki_01794', 'wiki_01952', 'wiki_01347']",بين 1614 و1681,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w073,A,P1,"['wiki_02019', 'wiki_02017', 'wiki_01953', 'wiki_02015', 'wiki_02021']",يوليو - غشت 1947,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w074,A,P1,"['wiki_02015', 'wiki_02016', 'wiki_02017', 'wiki_02020', 'wiki_02019']",تمتاز الجماعة بمدينة جرادة منتخبا مختارا من قبل رؤساء العائلات حسب الانتماء الإثني لكل مجموعة قبيلة.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w075,A,P1,"['wiki_01101', 'wiki_01103', 'wiki_01102', 'wiki_01878', 'wiki_00920']",تنتشر سلالة الأبقار والماس زعير في كل من منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w076,A,P1,"['wiki_01101', 'wiki_02814', 'wiki_02812', 'wiki_02243', 'wiki_01671']",سنة 1981,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w077,A,P1,"['wiki_01101', 'wiki_01103', 'wiki_01102', 'wiki_00920', 'wiki_01099']",سلالة مكناس,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w078,A,P1,"['wiki_00645', 'wiki_00643', 'wiki_00646', 'wiki_00647', 'wiki_00644']",على ارتفاع 1200 متر فوق سطح البحر.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w079,A,P1,"['wiki_00643', 'wiki_00645', 'wiki_00646', 'wiki_00647', 'wiki_00644']",32 كلم,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w080,A,P1,"['wiki_00643', 'wiki_00645', 'wiki_00646', 'wiki_00648', 'wiki_00767']",عين ذهيبة,1,0,0,"مدعوم: لا
مطابق: لا",0
w081,A,P1,"['wiki_01214', 'wiki_01216', 'wiki_01215', 'wiki_01104', 'wiki_01217']",6 يوما,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w082,A,P1,"['wiki_01216', 'wiki_01214', 'wiki_01215', 'wiki_01217', 'wiki_01104']",الأيام الثلاثة الأولى مخصصة للمحترفين، والأيام الثلاثة الأخرى مفتوحة لعامة الناس.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w083,A,P1,"['wiki_01214', 'wiki_01216', 'wiki_01215', 'wiki_01217', 'wiki_01104']","مساحة المعرض الدولي للفلاحة بالمغرب تبلغ 370,000 m2.",1,1,1,"مدعوم: نعم
مطابق: نعم",0
w084,A,P1,"['wiki_02924', 'wiki_02926', 'wiki_02294', 'wiki_02927', 'wiki_02925']",الاقتصاد في مدينة مرزوكة يعتمد بشكل رئيسي على السياحة.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w085,A,P1,"['wiki_02924', 'wiki_02926', 'wiki_02927', 'wiki_01941', 'wiki_02925']",المدينة تعاني من مشاكل في النظافة وقلة الموارد المائية وضعف الخدمات اللوجستيكية ونقص قنوات الصرف الصحي وضعف قطاع الصحة.,1,0,1,"مدعوم: لا
مطابق: نعم",0
w086,A,P1,"['wiki_01372', 'wiki_01373', 'wiki_00350', 'wiki_00572', 'wiki_01071']",سنة 2012,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w087,A,P1,"['wiki_01372', 'wiki_00778', 'wiki_00796', 'wiki_00424', 'wiki_01373']",120 كيلومترًا,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w088,A,P1,"['wiki_01372', 'wiki_01373', 'wiki_00707', 'wiki_00468', 'wiki_01141']",مساحة المنطقة الحرة الأطلسية تقارب 500 هكتار.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w089,A,P1,"['wiki_01161', 'wiki_01162', 'wiki_01163', 'wiki_00508', 'wiki_00455']",أُحدثت اللجنة الوطنية لمناخ الأعمال سنة 2009 ويرأسها رئيس الحكومة.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w090,A,P1,"['wiki_01161', 'wiki_01162', 'wiki_01163', 'wiki_00455', 'wiki_00456']",الهدف من اللجنة الوطنية لمناخ الأعمال هو تحسين مناخ الأعمال وتعزيز جاذبية المغرب للاستثمارات.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w091,A,P1,"['wiki_01715', 'wiki_01768', 'wiki_01783', 'wiki_01267', 'wiki_01251']",المعلومة غير متوفرة في النصوص,0,0,0,"مدعوم: لا
مطابق: لا",1
w092,A,P1,"['wiki_02700', 'wiki_02702', 'wiki_00904', 'wiki_00196', 'wiki_02187']",مراكش,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w093,A,P1,"['wiki_00323', 'wiki_00324', 'wiki_00325', 'wiki_01660', 'wiki_01658']",منذ سنة 1960 يتبع إقليم شنقيط لموريتانيا.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w094,A,P1,"['wiki_00324', 'wiki_00325', 'wiki_01329', 'wiki_01252', 'wiki_00930']",نهر السنغال,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w095,A,P1,"['wiki_02031', 'wiki_00901', 'wiki_02030', 'wiki_02675', 'wiki_00802']",2 كم,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w096,A,P1,"['wiki_00650', 'wiki_00649', 'wiki_01378', 'wiki_00615', 'wiki_02385']",مرسوم رقم 2.24.1122,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w097,A,P1,"['wiki_00650', 'wiki_00373', 'wiki_02973', 'wiki_01489', 'wiki_02863']",توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w098,A,P1,"['wiki_01204', 'wiki_01203', 'wiki_00487', 'wiki_00474', 'wiki_00793']",المدرسة البوعنانية بُنيت ما بين عامي 1350م و1355م.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w099,A,P1,"['wiki_01204', 'wiki_01203', 'wiki_01205', 'wiki_01453', 'wiki_01614']",باب بوجلود يعد المدخل الرئيسي لفاس البالي.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w100,A,P1,"['wiki_01367', 'wiki_01366', 'wiki_00451', 'wiki_00810', 'wiki_00445']",167 مقعدا,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w101,A,P1,"['wiki_02640', 'wiki_02635', 'wiki_02646', 'wiki_02644', 'wiki_02641']",200 ملم,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w102,A,P1,"['wiki_02640', 'wiki_02635', 'wiki_02204', 'wiki_02641', 'wiki_01065']",تفوق 39.6 درجة مئوية,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w103,A,P1,"['wiki_02640', 'wiki_02635', 'wiki_02644', 'wiki_02643', 'wiki_02646']",واد الشارف واد تبودة وادي مسخسخة وادي وزين,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w104,A,P1,"['wiki_00431', 'wiki_01650', 'wiki_00430', 'wiki_00427', 'wiki_01430']",تداخل النزعة الليبرالية مع الاقتصاد الموجّه.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w105,A,P1,"['wiki_00431', 'wiki_00430', 'wiki_00461', 'wiki_01650', 'wiki_01997']",أولى الأوراش الاقتصادية لأولى الحكومات المغربية تخص إرساء الاستقلالية الاقتصادية، لدولة خارجة للتو من الاستعمار.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w106,A,P1,"['wiki_00565', 'wiki_01491', 'wiki_01490', 'wiki_01486', 'wiki_02224']",أُنشئ البنك المخزني المغربي سنة 1907 في طنجة شمال المغرب.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w107,A,P1,"['wiki_00565', 'wiki_01490', 'wiki_01486', 'wiki_01491', 'wiki_01489']",قامت البنك المخزني بدور البنك المركزي إلى غاية سنة 1959.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w108,A,P1,"['wiki_02856', 'wiki_00717', 'wiki_00719', 'wiki_00716', 'wiki_00692']",الغرض الرئيسي من تنظيم مؤتمر الجزيرة الخضراء كان حل الأزمة المغربية الأولى وتحديد مصير المغرب كمستعمرة أوروبية.,0,1,0,"مدعوم: نعم
مطابق: لا",0
w109,A,P1,"['wiki_00738', 'wiki_00737', 'wiki_00734', 'wiki_00735', 'wiki_01362']",أحمد بن المهدي الغزال,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w110,A,P1,"['wiki_00738', 'wiki_00737', 'wiki_00579', 'wiki_01126', 'wiki_01347']",لقد زار محمد بن عثمان المكناسي إسبانيا لعقد معاهدة لتجديد الصلح بين المغرب وإسبانيا وإطلاق صراح الأسرى الجزائريين بإسبانيا.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w111,A,P1,"['wiki_02472', 'wiki_00114', 'wiki_02730', 'wiki_00070', 'wiki_00139']",الكلمة «أصفراو» في اللغة الأمازيغية تعني المنطقة المقعرة.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w112,A,P1,"['wiki_02472', 'wiki_02471', 'wiki_02479', 'wiki_02481', 'wiki_02476']",قبائل الباكوات لـموريطنية الطنجية,1,0,0,"مدعوم: لا
مطابق: لا",0
w113,A,P1,"['wiki_02472', 'wiki_02481', 'wiki_02477', 'wiki_02479', 'wiki_00127']",البهاليل,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w114,A,P1,"['wiki_01117', 'wiki_01119', 'wiki_01133', 'wiki_01120', 'wiki_01135']",35 كلم,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w115,A,P1,"['wiki_01117', 'wiki_01123', 'wiki_01118', 'wiki_00079', 'wiki_01119']",مسجد، وحمام، ومركز تجاري.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w116,A,P1,"['wiki_01117', 'wiki_01118', 'wiki_00152', 'wiki_01330', 'wiki_01794']",استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م بقيادة ألفونس الخامس.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w117,A,P1,"['wiki_01242', 'wiki_02220', 'wiki_00050', 'wiki_00183', 'wiki_02903']",ألبرت حوراني,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w118,A,P1,"['wiki_01242', 'wiki_01228', 'wiki_00641', 'wiki_01243', 'wiki_00480']",المحامِك والوزارات والجيش,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w119,A,P1,"['wiki_01086', 'wiki_01894', 'wiki_01897', 'wiki_01892', 'wiki_02455']",مساحة القصبة المخزنية تبلغ 6704م² وعدد أبراجها 5.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w120,A,P1,"['wiki_01892', 'wiki_02712', 'wiki_01890', 'wiki_01894', 'wiki_01190']",تنسب إلى القائد الحاحي محمد أغناج,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w121,A,P1,"['wiki_02269', 'wiki_02268', 'wiki_01458', 'wiki_00186', 'wiki_00141']",قصبة المرينيين,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w122,A,P1,"['wiki_02787', 'wiki_00626', 'wiki_02786', 'wiki_00139', 'wiki_00625']",وفرة سمك الشابل والتون في أزمور، والإقبال الأوروبي على شرائه.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w123,A,P1,"['wiki_02787', 'wiki_00303', 'wiki_00686', 'wiki_00690', 'wiki_01678']",سنة 1476,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w124,A,P1,"['wiki_02319', 'wiki_02320', 'wiki_02324', 'wiki_02321', 'wiki_02323']",لقب عاصمة الشاوية,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w125,A,P1,"['wiki_02319', 'wiki_02323', 'wiki_02324', 'wiki_02320', 'wiki_01149']",40 كم,1,0,0,"مدعوم: لا
مطابق: لا",0
w126,A,P1,"['wiki_02319', 'wiki_02320', 'wiki_02324', 'wiki_02323', 'wiki_02321']",الحصان,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w127,A,P1,"['wiki_02319', 'wiki_02323', 'wiki_02320', 'wiki_02324', 'wiki_01388']",ارتفاع سطات عن سطح البحر يبلغ حوالي 370 مترا.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w128,A,P1,"['wiki_00186', 'wiki_02445', 'wiki_02444', 'wiki_00187', 'wiki_00188']",الراية البيضاء,0,1,1,"مدعوم: نعم
مطابق: نعم",0
w129,A,P1,"['wiki_00186', 'wiki_02445', 'wiki_02638', 'wiki_00187', 'wiki_02235']",ينسب إلى المرابطين استعمال راية سوداء ذات كتابات أو زخارف ذهبية، رابطًا اللون الأسود باعترافهم الاسمي بشرعية الخلافة العباسية.,0,1,1,"مدعوم: نعم
مطابق: نعم",0
